Generations no drug,Generations drug,MM fraction
2,2,0.4267587767920357
2,3,0.43165739850589907
2,4,0.43482300902350945
2,5,0.4371121628066738
2,6,0.43886535271688676
2,7,0.44025658897296627
2,8,0.44138854460046284
2,9,0.4423274378539041
2,10,0.44311848800258974
2,11,0.4437938091079079
2,12,0.4443768786353905
2,13,0.4448852638679232
2,14,0.4453323652126362
2,15,0.44572857637539043
2,16,0.44608207911833503
2,17,0.4463993987665895
2,18,0.4466858010893926
2,19,0.44694558109399296
2,20,0.44718227589698345
2,21,0.44739882432717
3,2,0.31563956106468427
3,3,0.4266723524253328
3,4,0.4300789530231624
3,5,0.4326574586965035
3,6,0.434697729325195
3,7,0.43635724246258256
3,8,0.43773406247050595
3,9,0.4388943464478945
3,10,0.43988496098288477
3,11,0.4407402043611194
3,12,0.4414857858101611
3,13,0.4421413487692702
3,14,0.44272214972300133
3,15,0.4432402080808692
3,16,0.44370511539366975
3,17,0.4441246146484878
3,18,0.44450502190132984
3,19,0.4448515390128898
3,20,0.4451684875621598
3,21,0.44545948684859765
4,2,0.3336969494564608
4,3,0.30329975217144234
4,4,0.4266066324713757
4,5,0.42928015489582133
4,6,0.43145010675543405
4,7,0.4332508564706696
4,8,0.434769461928824
4,9,0.436066787662381
4,10,0.43718728615838526
4,11,0.4381643362926555
4,12,0.43902350799652634
4,13,0.43978470729068536
4,14,0.44046364622480066
4,15,0.44107287956021307
4,16,0.4416225523686304
4,17,0.44212094606963376
4,18,0.4425748840216054
4,19,0.4429900367794393
4,20,0.4433711541066256
4,21,0.44372224372002855
5,2,0.34671351644110077
5,3,0.3184359180737277
5,4,0.2927827285106004
5,5,0.4265627877527159
5,6,0.42878142796346136
5,7,0.43065349746045306
5,8,0.4322542761327818
5,9,0.4336379684613498
5,10,0.4348452081602424
5,11,0.43590719879603074
5,12,0.4368483084217538
5,13,0.43768782628953645
5,14,0.43844120090264754
5,15,0.4391209358612391
5,16,0.43973725084941506
5,17,0.44029857403071426
5,18,0.4408119139964496
5,19,0.4412831442009029
5,20,0.441717221995738
5,21,0.44211835953827955
6,2,0.3567075920304644
6,3,0.330298879815907
6,4,0.30902898152604863
6,5,0.4243119780168731
6,6,0.42653303653890773
6,7,0.4284337696310774
6,8,0.4300784920281506
6,9,0.4315147715477992
6,10,0.43277908534395243
6,11,0.4339000055870662
6,12,0.43490023303909786
6,13,0.4357980082099771
6,14,0.4366081332461911
6,15,0.43734272941992974
6,16,0.43801180803143785
6,17,0.43862370317883487
6,18,0.4391854045342412
6,19,0.43970281519454096
6,20,0.4401809529687898
6,21,0.44062410923116485
7,2,0.36466239024319097
7,3,0.339982921080178
7,4,0.31971145843470133
7,5,0.301986071967338
7,6,0.424609391196677
7,7,0.4265117083861743
7,8,0.4281748416314445
7,9,0.4296402579798544
7,10,0.4309404042110941
7,11,0.43210115013488726
7,12,0.4331433704201187
7,13,0.43408406733706684
7,14,0.4349372044712017
7,15,0.43571433902193635
7,16,0.43642510824477637
7,17,0.4370776045201951
7,18,0.43767866832556523
7,19,0.4382341184008966
7,20,0.4387489335134062
7,21,0.43922739748894163
8,2,0.37115033082356896
8,3,0.34804169094268794
8,4,0.3287393307043732
8,5,0.31216256871974907
8,6,0.32742691128914864
8,7,0.42483135234444835
8,8,0.42649554695004055
8,9,0.4279735218014793
8,10,0.42929401309236487
8,11,0.4304803011618981
8,12,0.4315514380443422
8,13,0.43252313444132734
8,14,0.4334084339668607
8,15,0.4342182398543322
8,16,0.4349617241659065
8,17,0.4356466500083584
8,18,0.43627962759553934
8,19,0.43686631738028886
8,20,0.4374115924054945
8,21,0.43791966961263384
9,2,0.37654124978011955
9,3,0.35484875488824924
9,4,0.3364718071812857
9,5,0.32051538422681103
9,6,0.306246866264976
9,7,0.42334890093898225
9,8,0.4250040463170862
9,9,0.4264827680776532
9,10,0.4278122138388379
9,11,0.4290132713710082
9,12,0.4301032549879523
9,13,0.4310966050289938
9,14,0.4320054327126992
9,15,0.4328399521253446
9,16,0.43360882595587086
9,17,0.43431944083500584
9,18,0.4349781288201181
9,19,0.4355903458044262
9,20,0.4361608159370322
9,21,0.43669364852571696
10,2,0.381089177358201
10,3,0.3606705605784536
10,4,0.34316358289279203
10,5,0.32780818404438666
