Generations no drug,Generations drug,MM fraction
2,2,0.3317095402992345
2,3,0.31065409303460173
2,4,0.43482303684810075
2,5,0.4371121627949101
2,6,0.4388653526430392
2,7,0.4402565890304715
2,8,0.44138854459316723
2,9,0.44232743786472883
2,10,0.4431184880046368
2,11,0.44379380910797256
2,12,0.4443768786357914
2,13,0.4448852638702052
2,14,0.44533236521085384
2,15,0.44572857638016594
2,16,0.446082079119713
2,17,0.44639939876523743
2,18,0.4466858010898653
2,19,0.44694558109186744
2,20,0.44718227590236465
2,21,0.44739882430173167
3,2,0.3511323488447015
3,3,0.3313249036454616
3,4,0.31741465540810815
3,5,0.4311300880317517
3,6,0.43469772226349046
3,7,0.43635724338296616
3,8,0.4377340624313771
3,9,0.438894346489709
3,10,0.43988496098945906
3,11,0.4407402043617573
3,12,0.44148578581144055
3,13,0.4421413487721184
3,14,0.44272214972029955
3,15,0.4432402080896761
3,16,0.4437051153941678
3,17,0.4441246146473608
3,18,0.4445050219016149
3,19,0.44485153899595636
3,20,0.44516848751101856
3,21,0.44545948679154784
4,2,0.36371006095609903
4,3,0.34483942420119773
4,4,0.330994033341413
4,5,0.32014041168413065
4,6,0.31035772785781596
4,7,0.43325115788923
4,8,0.4347694607213353
4,9,0.4360667879889846
4,10,0.43718728617682273
4,11,0.43816433629699003
4,12,0.43902350799655737
4,13,0.43978470729654645
4,14,0.44046364622033685
4,15,0.4410728795687026
4,16,0.4416225523716533
4,17,0.44212094606805413
4,18,0.44257488402158685
4,19,0.4429900367794986
4,20,0.44337115413967654
4,21,0.4437222436838577
5,2,0.37285758110809963
5,3,0.3551208934635797
5,4,0.3416456378048196
5,5,0.3308179179146482
5,6,0.32186219131572547
5,7,0.31399602424843504
5,8,0.4087933102502707
5,9,0.43363785284786205
5,10,0.4348452080916561
5,11,0.43590719859760907
5,12,0.43684830841375294
5,13,0.4376878263033131
5,14,0.4384412008750119
5,15,0.43912093588606993
5,16,0.4397372508540351
5,17,0.4402985740284331
5,18,0.44081191398658054
5,19,0.44128314421147347
5,20,0.44171722197726093
5,21,0.44211835954471823
6,2,0.3798927840240965
6,3,0.36328680370883615
6,4,0.3503216301772287
6,5,0.3396822318885082
6,6,0.3307392287423331
6,7,0.32309764747882697
6,8,0.3163198359914898
6,9,0.31561150860905335
6,10,0.4327175648165789
6,11,0.43389998860529916
6,12,0.43490023301948727
6,13,0.43579800811719166
6,14,0.4366081332245836
6,15,0.43734272945574126
6,16,0.4380118080419649
6,17,0.43862370311460175
6,18,0.4391854045315249
6,19,0.4397028151796837
6,20,0.4401809529764215
6,21,0.44062410923285567
7,2,0.38548903950301666
7,3,0.3699432992347803
7,4,0.357536345963813
7,5,0.34717654238147877
7,6,0.33834295362589195
7,7,0.33070907018817153
7,8,0.32403785601253754
7,9,0.31805347783631194
7,10,0.31229040214618037
7,11,0.43196822331422374
7,12,0.43314316958070015
7,13,0.43408406680145895
7,14,0.4349372043452286
7,15,0.4357143391055395
7,16,0.4364251076633661
7,17,0.43707760448006755
7,18,0.4376786682893814
7,19,0.4382341183998438
7,20,0.4387489335188902
7,21,0.43922739644949965
8,2,0.39004813329205257
8,3,0.37547236996210387
8,4,0.36362748500743863
8,5,0.353591704347055
8,6,0.3449291696241696
8,7,0.33736456242752505
8,8,0.330700505855423
8,9,0.32477723723704355
