Generations no drug,Generations drug,MM fraction
2,2,0.3026052764838647
2,3,0.38780640893622426
2,4,0.3878047522055013
2,5,0.3878047569970886
2,6,0.3878047581735901
2,7,0.3878047561606612
2,8,0.38780475856548147
2,9,0.3878047582820843
2,10,0.38780475587247626
2,11,0.38780475794341024
2,12,0.38780475637605594
2,13,0.38780475743054477
2,14,0.387804757290823
2,15,0.3878047572818164
2,16,0.38780475614080445
2,17,0.3878047566975426
2,18,0.38780475674787973
2,19,0.38780475633418493
2,20,0.38780475629529415
2,21,0.3878047576901011
3,2,0.3276453873119225
3,3,0.3013941154227155
3,4,0.36816386164339027
3,5,0.38780475991287394
3,6,0.3878047585663933
3,7,0.3878047545497524
3,8,0.3878047572691737
3,9,0.38780475820587124
3,10,0.3878047572981498
3,11,0.3878047564596442
3,12,0.38780475714824914
3,13,0.387804756857577
3,14,0.3878047572834573
3,15,0.38780475649474894
3,16,0.38780475739840353
3,17,0.3878047571380673
3,18,0.38780475653663354
3,19,0.3878047570359287
3,20,0.3878047563466405
3,21,0.38780475683305277
4,2,0.34375403062811455
4,3,0.31878885073131663
4,4,0.30031258842270125
4,5,0.289263778824209
4,6,0.38780485912872453
4,7,0.38780474932839937
4,8,0.3878047583906625
4,9,0.3878047573955454
4,10,0.3878047566847166
4,11,0.38780475784446566
4,12,0.3878047562246473
4,13,0.38780475690441363
4,14,0.38780475701210904
4,15,0.38780475651891727
4,16,0.38780475741261605
4,17,0.3878047573627037
4,18,0.387804756776473
4,19,0.3878047566370303
4,20,0.3878047564358304
4,21,0.38780475704595885
5,2,0.3554541104146162
5,3,0.33200748262693314
5,4,0.3140598376820087
5,5,0.29961740232020895
5,6,0.2887779315574103
5,7,0.3878038761161271
5,8,0.38780476623397064
5,9,0.3878047590233506
5,10,0.3878047575384865
5,11,0.3878047576293852
5,12,0.38780475590713465
5,13,0.3878047555473452
5,14,0.38780475673989573
5,15,0.3878047569782808
5,16,0.38780475611666776
5,17,0.38780475655191254
5,18,0.3878047574213898
5,19,0.38780475747209636
5,20,0.3878047570796209
5,21,0.38780475540997916
6,2,0.36445751987228214
6,3,0.3425144647494365
6,4,0.3252663565296342
6,5,0.31109775847198456
6,6,0.29919774932813537
6,7,0.2895495735270609
6,8,0.3867731869878907
6,9,0.3878047757157436
6,10,0.38780475715180385
6,11,0.3878047567170797
6,12,0.38780475582133445
6,13,0.3878047563555078
6,14,0.3878047561406491
6,15,0.3878047570516192
6,16,0.38780475758472527
6,17,0.38780475765546046
6,18,0.38780475593571956
6,19,0.38780475676822385
6,20,0.3878047568779843
6,21,0.38780475803871967
7,2,0.3716264610001888
7,3,0.35108982338662154
7,4,0.33459774799148306
7,5,0.3208169310720179
7,6,0.30907620742902403
7,7,0.29894188367770785
7,8,0.29055432998350716
7,9,0.3714711061317186
7,10,0.3878047249621296
7,11,0.38780475747225335
7,12,0.3878047564040292
7,13,0.3878047551517832
7,14,0.3878047570025361
7,15,0.38780475756351485
7,16,0.38780475623592225
7,17,0.3878047586274825
7,18,0.3878047573855737
7,19,0.3878047561961153
7,20,0.387804757345584
7,21,0.3878047570299157
8,2,0.37747222535765756
8,3,0.35822082979150865
8,4,0.342485452414056
8,5,0.3291466947513373
8,6,0.31764408963925267
8,7,0.307609661121713
8,8,0.2987820660914213
8,9,0.29141783710149044
8,10,0.3853155009281653
8,11,0.38780420201641314
8,12,0.38780475212691096
8,13,0.38780475651849616
8,14,0.38780475638678685
8,15,0.38780475645309503
8,16,0.3878047617161065
8,17,0.387804758226179
8,18,0.38780475713404283
8,19,0.38780475854744345
8,20,0.38780475670022124
8,21,0.38780475736228526
9,2,0.38232789138715245
9,3,0.3642396753754375
9,4,0.3492345709089119
9,5,0.33635815966871263
9,6,0.3251374943608935
9,7,0.3152598875727495
9,8,0.30649521698902177
9,9,0.29866923265551815
9,10,0.29215655498535453
9,11,0.3786860047012219
9,12,0.3878046568822588
9,13,0.387804754079966
9,14,0.38780475515261
9,15,0.38780475644422047
9,16,0.38780476432727196
9,17,0.38780475678451903
9,18,0.3878047573920093
9,19,0.38780475634565964
9,20,0.3878047567180123
9,21,0.3878047564021026
10,2,0.38642290760643294
10,3,0.369383962258051
10,4,0.3550703433295427
10,5,0.34265701031904755
10,6,0.3317408162815552
10,7,0.3220542336985554
10,8,0.31339836668281046
10,9,0.3056182736205775
10,10,0.29860647210525054
10,11,0.29345347127248783
10,12,0.38760136031183007
10,13,0.3877985361332722
10,14,0.38780475279509424
10,15,0.3878047558326864
10,16,0.3878047531250473
10,17,0.387804755573178
10,18,0.3878047564812401
10,19,0.38780475647283585
10,20,0.3878047565755565
10,21,0.3878047567283716
11,2,0.38992123756531516
11,3,0.373828797082184
11,4,0.36016323846362897
11,5,0.3482025797699158
11,6,0.3375998718360492
11,7,0.3281246973244594
11,8,0.3196042750446058
11,9,0.3119020802473245
11,10,0.30490526385544825
11,11,0.2985285887457759
11,12,0.29467494763530544
11,13,0.38648674196504335
11,14,0.38780461616391476
11,15,0.3878047549640215
11,16,0.3878047567951288
11,17,0.3878047535140299
11,18,0.387804756398328
11,19,0.3878047565624217
11,20,0.3878047566501569
11,21,0.3878047561291179
12,2,0.392943252150853
12,3,0.37770606026379244
12,4,0.364644554484586
12,5,0.35312004343752196
12,6,0.3428312626664295
12,7,0.3335784689753538
12,8,0.3252108776238146
12,9,0.31760814014334793
12,10,0.3106713449252243
12,11,0.3043242383107817
12,12,0.29860562606909785
12,13,0.3139641527188142
12,14,0.387798527043664
12,15,0.38780475343193493
12,16,0.3878028866462356
12,17,0.38780474917978064
12,18,0.3878047567543785
12,19,0.3878047566589495
12,20,0.3878047560026749
12,21,0.38780475630752165
13,2,0.3955792614027276
13,3,0.3811168494118496
13,4,0.36861688300762974
13,5,0.3575088871425354
13,6,0.3475290889811092
13,7,0.33850325777479123
13,8,0.3302992046097907
13,9,0.322810568716475
13,10,0.3159493144247603
13,11,0.30964177093767414
13,12,0.3037949687549414
