Generations no drug,Generations drug,MM number
2,2,31.696615119663665
2,3,30.10115605863799
2,4,29.627163971825848
2,5,29.61902401413061
2,6,29.814779483045186
2,7,30.097566201140566
2,8,30.41187833951276
2,9,30.730545757178614
2,10,31.0402826203505
2,11,31.334878842880567
2,12,31.61181526170355
2,13,31.87051138028988
2,14,32.11139173824617
2,15,32.33537745362135
2,16,32.54360828988749
2,17,32.73728870214028
2,18,32.91760602103995
2,19,33.085688079935075
2,20,33.24258317327614
2,21,33.389253305658855
3,2,34.28171423769528
3,3,31.779275036062817
3,4,30.55927217278791
3,5,29.988785517096844
3,6,29.77040525354731
3,7,29.75030360530834
3,8,29.84368486249807
3,9,30.001683661228466
3,10,30.195243140574917
3,11,30.40671342567876
3,12,30.625239576045697
3,13,30.84412114993887
3,14,31.059252716141238
3,15,31.268173978372683
3,16,31.469478737570313
3,17,31.662440457102445
3,18,31.84677171496576
3,19,32.02246557081276
3,20,32.18969364221976
3,21,32.34873634834665
4,2,36.48357782402639
4,3,33.564935927036636
4,4,31.892475000974663
4,5,30.922575724047405
4,6,30.373058018506743
4,7,30.08505366315328
4,8,29.963963367460405
4,9,29.951089747988053
4,10,30.0088535986116
4,11,30.112606519112155
4,12,30.24587555276023
4,13,30.39749341683737
4,14,30.559812474618063
4,15,30.72756132067282
4,16,30.897097870397367
4,17,31.065911111989585
4,18,31.232282731031248
4,19,31.395055012178986
4,20,31.55346905284841
4,21,31.707049893711766
5,2,38.2772154029949
5,3,35.198336913555465
5,4,33.26720032733802
5,5,32.03151744764197
5,6,31.239246079362054
5,7,30.73974537025965
5,8,30.438459916838216
5,9,30.273816548395423
5,10,30.204545320984963
5,11,30.202344932295052
5,12,30.24744007088867
5,13,30.325801430756687
5,14,30.42735199414192
5,15,30.54478216619746
5,16,30.67274876847717
5,17,30.80732402973426
5,18,30.94561090156694
5,19,31.08546983912196
5,20,31.225322565210874
5,21,31.36400976082878
6,2,39.73888079834564
6,3,36.63363308347343
6,4,34.565129074968674
6,5,33.159116599474736
6,6,32.19546191520302
6,7,31.53642758798425
6,8,31.092026930982342
6,9,30.80150821518097
6,10,30.62277574084447
6,11,30.526034799957483
6,12,30.489824121550775
6,13,30.498456148885044
6,14,30.540321669466937
6,15,30.606740240544635
6,16,30.691164625417343
6,17,30.78862179000377
6,18,30.89531249471219
6,19,31.008321324504912
6,20,31.125404474352628
6,21,31.2448319959602
7,2,40.94301837591294
7,3,37.88181371347473
7,4,35.751572476478465
7,5,34.24125927102078
7,6,33.15995074693282
7,7,32.38371919918224
7,8,31.82895949718259
7,9,31.437584692615573
7,10,31.16827485871414
7,11,30.991061125061087
7,12,30.883851424069164
7,13,30.830132586536156
7,14,30.817415571855193
7,15,30.836159390892586
7,16,30.87901155906677
7,17,30.940264191846392
7,18,31.015458516099088
7,19,31.1010932642605
7,20,31.194407154587875
7,21,31.293215422632375
8,2,41.94795993745748
8,3,38.96730040805506
8,4,36.822678831816695
8,5,35.25347026844235
8,6,34.094077670039354
8,7,33.23371381904528
8,8,32.59562510353584
8,9,32.12520269897336
8,10,31.782753779736506
8,11,31.5389093510024
8,12,31.371610195226157
8,13,31.264072204944867
8,14,31.203382045033425
8,15,31.179508658440696
8,16,31.184594506647272
8,17,31.212439740675958
