Generations no drug,Generations drug,MM number
2,2,36.73541783684163
2,3,36.66331460168994
2,4,36.91682967494204
2,5,37.210295501275816
2,6,37.48181976373269
2,7,37.71975885713604
2,8,37.925294701539144
2,9,38.10262291507889
2,10,38.25617119265511
2,11,38.38984857440457
2,12,38.50691551474889
2,13,38.610038205742576
2,14,38.70138601808515
2,15,38.782726818898034
2,16,38.855508229711155
2,17,38.920922812888925
2,18,38.97995969735993
2,19,39.03344486729585
2,20,39.08207266336591
2,21,39.12643054952277
3,2,37.70143621912477
3,3,36.932359405759904
3,4,36.84856866960009
3,5,36.973791035681785
3,6,37.1617938891137
3,7,37.361079405653115
3,8,37.55265461543224
3,9,37.729905968714974
3,10,37.89120605538455
3,11,38.03695471958732
3,12,38.16832782476099
3,13,38.28673354992259
3,14,38.39357699913286
3,15,38.49016399321915
3,16,38.57766831105931
3,17,38.657127717889125
3,18,38.72945235467841
3,19,38.795437561023355
3,20,38.85577790435289
3,21,38.91108032922144
4,2,38.94622071109668
4,3,37.6082505863933
4,4,37.191252606563474
4,5,37.11980462819073
4,6,37.18981837029598
4,7,37.31784596281369
4,8,37.46678599489705
4,9,37.61937956487336
4,10,37.767521509234996
4,11,37.90755008391146
4,12,38.03803010534409
4,13,38.15865640264417
4,14,38.26969166302126
4,15,38.37167083680146
4,16,38.46524363486745
4,17,38.551090480382484
4,18,38.62987845340426
4,19,38.702239080408944
4,20,38.76875860586932
4,21,38.829974702828444
5,2,40.224945410667864
5,3,38.46117588070105
5,4,37.757855070376785
5,5,37.49950739419232
5,6,37.44684880847722
5,7,37.49361712548339
5,8,37.58842804670793
5,9,37.70498609327074
5,10,37.82934935032756
5,11,37.954003149117995
5,12,38.074917038660345
5,13,38.19000668163072
5,14,38.29829675903968
5,15,38.39945021503598
5,16,38.493496900323414
5,17,38.58067373700088
5,18,38.66132938682451
5,19,38.735866840022915
5,20,38.804708791809375
5,21,38.868276868348936
6,2,41.44721745774808
6,3,39.3780570900975
6,4,38.44303466727096
6,5,38.021307556671985
6,6,37.854642587734865
6,7,37.82160578642118
6,8,37.86025705347775
6,9,37.937139026098016
6,10,38.033433961196664
6,11,38.13826784139719
6,12,38.245263227313366
6,13,38.35067375809278
6,14,38.45233284077647
6,15,38.549040795833164
6,16,38.640197718164224
6,17,38.725578035589756
6,18,38.805189519710865
6,19,38.87918359352847
6,20,38.947797563010376
6,21,39.011317176384004
7,2,42.58193617329688
7,3,40.30124915313055
7,4,39.1852587153526
7,5,38.62708054954263
7,6,38.360473129365396
7,7,38.254624856723595
7,8,38.240153748579615
7,9,38.278160374940846
7,10,38.345924430611674
7,11,38.42977404702854
7,12,38.52131255114934
7,13,38.61532370467166
7,14,38.70856163629628
7,15,38.799028096118704
7,16,38.88552867345521
7,17,38.96739322921114
7,18,39.04429624458198
7,19,39.11613916890468
7,20,39.18297230038133
7,21,39.244942053742534
8,2,43.622188184851495
8,3,41.20118862027087
8,4,39.947783107883886
8,5,39.27915339659104
8,6,38.92817480127648
8,7,38.75886346022681
8,8,38.69683986026802
8,9,38.69920590436993
8,10,38.740208932438264
8,11,38.80391417512087
8,12,38.880240249218986
8,13,38.96271303209323
8,14,39.047142867683846
8,15,39.13082046923488
8,16,39.21201338230728
8,17,39.289643443189235
8,18,39.363075451801905
8,19,39.4319761819257
8,20,39.49621868583843
8,21,39.55581621046178
9,2,44.57101633969182
9,3,42.063177511923236
9,4,40.708450389673814
9,5,39.95276311254211
9,6,39.5326168910985
9,7,39.30983256130206
9,8,39.20689327301988
9,9,39.17806290797158
9,10,39.19529107369565
