Generations no drug,Generations drug,MM number
2,2,39.8188542562763
2,3,37.4795944002369
2,4,36.54083690555557
2,5,36.206465038161994
2,6,36.15600586426987
2,7,36.24405236271184
2,8,36.39932901364401
2,9,36.585085270000874
2,10,36.7817796329279
2,11,36.9788891888038
2,12,37.17079491138275
2,13,37.35461438560505
2,14,37.529018936814374
2,15,37.693564957276635
2,16,37.8483124599173
2,17,37.9935980036721
2,18,38.12990324669296
2,19,38.25777563636345
2,20,38.37778148485693
2,21,38.490479076602234
3,2,43.25017534668759
3,3,39.92352028793874
3,4,38.16421464798539
3,5,37.21073909292328
3,6,36.702979692386826
3,7,36.45406455255019
3,8,36.36038704833778
3,9,36.36161197112538
3,10,36.42126236762236
3,11,36.51664206169165
3,12,36.63331681226078
3,13,36.7619587038445
3,14,36.89647577690704
3,15,37.03287001300915
3,16,37.1685210342352
3,17,37.30172725629184
3,18,37.431406847697794
3,19,37.55689846220483
3,20,37.67782820704308
3,21,37.794018045465485
4,2,46.066061193624705
4,3,42.31137903911654
4,4,40.05996033706323
4,5,38.66813072209931
4,6,37.79653320066815
4,7,37.25307684839245
4,8,36.923076211685846
4,9,36.73515173768294
4,10,36.64337481279033
4,11,36.617384306690035
4,12,36.63665897972393
4,13,36.68707390505071
4,14,36.758760249581314
4,15,36.84473922488188
4,16,36.94002883883611
4,17,37.041047798581246
4,18,37.14521007758083
4,19,37.250644938628795
4,20,37.3560004142896
4,21,37.46030462688863
5,2,48.315771506902266
5,3,44.42650461498039
5,4,41.90353016780994
5,5,40.22317215791606
5,6,39.085843922867774
5,7,38.31044471607983
5,8,37.78274167974889
5,9,37.42815711949607
5,10,37.196598097700495
5,11,37.053606106556934
5,12,36.974994602659415
5,13,36.9434940616745
5,14,36.94659139808901
5,15,36.9751066482189
5,16,37.02223332407254
5,17,37.082879434887396
5,18,37.15320750208684
5,19,37.23030823231144
5,20,37.311966023521464
5,21,37.39648828859304
6,2,50.12394672672562
6,3,46.25137904948748
6,4,43.596028285405175
6,5,41.73564231476115
6,6,40.412723719260576
6,7,39.46319367995807
6,8,38.77888601412507
6,9,38.28644967129386
6,10,37.93493428853577
6,11,37.68821061718754
6,12,37.52019710216133
6,13,37.41177182770682
6,14,37.348723606584855
6,15,37.320366381322714
6,16,37.31858141833657
6,17,37.337145011272575
6,18,37.37124917473434
6,19,37.417154680715875
6,20,37.47193701380091
6,21,37.53329822869676
7,2,51.59709705202339
7,3,47.81793860953635
7,4,45.116726737627616
7,5,43.15194539072616
7,6,41.70443703358989
7,7,40.6283598761926
7,8,39.82396772424098
7,9,39.2214434977251
7,10,38.770923927639615
7,11,38.43615977459217
7,12,38.19038263962619
7,13,38.013548421457514
7,14,37.89046472117437
7,15,37.80948853635454
7,16,37.761612327557145
7,17,37.73980735606883
7,18,37.73854749184611
7,19,37.75345929915347
7,20,37.781061661866694
7,21,37.81856982419009
8,2,52.815058308663666
8,3,49.16636636887165
8,4,46.47271750646089
8,5,44.45558520610648
8,6,42.9287192964373
8,7,41.76359450086411
8,8,40.86951536065295
8,9,40.181257502015505
8,10,39.65111738934033
8,11,39.243672243958024
8,12,38.93225738721925
8,13,38.69655214859459
8,14,38.52089803128935
8,15,38.39311070387268
8,16,38.3036220571376
8,17,38.24486082056676
8,18,38.210792144049535
8,19,38.19657569329697
8,20,38.19830733402678
8,21,38.21282263569926
9,2,53.83613760001303
9,3,50.33357067739151
9,4,47.68013491449381
9,5,45.64626203886599
9,6,44.07321089595937
9,7,42.84802636710937
9,8,41.888826135095634
9,9,41.13532292236683
9,10,40.54250113515792
9,11,40.07631146879117
9,12,39.71069196084403
9,13,39.42547668834933
9,14,39.204906390844805
9,15,39.0365542002178
9,16,38.9105429186808
9,17,38.818960674267736
9,18,38.75543110627057
9,19,38.71478322143455
9,20,38.692801671292905
9,21,38.68603401563758
10,2,54.703018415938494
10,3,51.35060667858741
10,4,48.75690141023018
10,5,46.7305282526893
10,6,45.13548529241656
10,7,43.872437392088926
10,8,42.8676748959892
10,9,42.065796508118936
10,10,41.424672810775704
10,11,40.91191381009702
10,12,40.50235978477088
10,13,40.176279658287974
10,14,39.918062598217254
10,15,39.71525599831737
10,16,39.55785419315942
10,17,39.43776249224532
10,18,39.348390953669984
10,19,39.284346961308806
10,20,39.24119470768144
10,21,39.21526942821696
11,2,55.44731235743026
11,3,52.24281062953237
11,4,49.719985239590294
11,5,47.71747541042593
11,6,46.11801148417642
11,7,44.83400450194496
11,8,43.79912248844298
11,9,42.962593369415586
11,10,42.28517628776083
11,11,41.7362598402907
11,12,41.29175132773786
11,13,40.932528601952136
11,14,40.64329449737049
11,15,40.41172222235947
11,16,40.22781030627916
11,17,40.08339572970584
11,18,39.971776279551456
11,19,39.88742165189142
11,20,39.82574811358993
11,21,39.782940285533016
12,2,56.09277355602291
12,3,53.03065080009911
12,4,50.58449052986573
12,5,48.616728549742476
12,6,47.02553920393391
12,7,45.73339417689286
12,8,44.680521361328594
12,9,43.82042416639929
12,10,43.11664125258687
12,11,42.54035537431991
12,12,42.06861625941426
12,13,41.683010311373856
12,14,41.36866041271632
12,15,41.11346708191208
12,16,40.907529488150296
12,17,40.74269963015492
12,18,40.61223893684619
12,19,40.51054522555424
12,20,40.43294387908369
12,21,40.37551821445955
13,2,56.657519963082585
13,3,53.73065164810198
13,4,51.36349527002132
13,5,49.437536272862985
13,6,47.86372358117087
13,7,46.57312335844422
13,8,45.51174579855193
13,9,44.63698372962065
13,10,43.91498683497585
13,11,43.31868489414355
13,12,42.826286660652684
13,13,42.42013653756754
13,14,42.0858404317442
13,15,41.811593604966745
13,16,41.58766121656671
13,17,41.405973034692934
13,18,41.25980832998372
13,19,41.14354533835943
13,20,41.05246201014465
13,21,40.98257977969166
14,2,57.15557602723307
14,3,54.3562021758087
14,4,52.06818080027269
14,5,50.18839310857286
14,6,48.63840346185883
14,7,47.35662002362095
14,8,46.29412717412896
14,9,45.411821859320014
14,10,44.67827079635165
14,11,44.06806709377176
14,12,43.56055806604188
14,13,43.13886100429708
14,14,42.78909798943787
14,15,42.4998006288135
14,16,42.26144395946247
14,17,42.066079591097676
14,18,41.907045958175935
14,19,41.77873895683057
14,20,41.67642404838061
14,21,41.596092267716976
15,2,57.597935858756706
15,3,54.918212320883576
15,4,52.708058368427835
15,5,50.87692062342336
15,6,49.35523203024585
15,7,48.087683633410045
15,8,47.02980353539011
15,9,46.145628370299214
15,10,45.40594043182634
15,11,44.78689338730918
15,12,44.268930300698585
15,13,43.83593316544376
15,14,43.474552590573396
15,15,43.17367950178665
15,16,42.924027019681304
15,17,42.71779857611115
15,18,42.54842180975998
15,19,42.410337532074756
15,20,42.298827712943
15,21,42.20987474003341
16,2,57.993341202533465
16,3,55.42563052706653
16,4,53.29120985586386
16,5,51.509871353083085
16,6,50.019500021600294
16,7,48.77017695757837
16,8,47.72132179262954
16,9,46.839775411328326
16,10,46.09833823024311
16,11,45.4746140553872
16,12,44.95008564619973
16,13,44.50937713109248
16,14,44.139665485248514
16,15,43.830210758808015
16,16,43.57198072551887
16,17,43.35734989053163
16,18,43.17985674978614
16,19,43.0340079641462
16,20,42.91512041659521
16,21,42.81918850436535
17,2,58.348808725440506
17,3,55.8858471596977
17,4,53.82451160401535
17,5,52.0931889616055
17,6,50.63606282652671
17,7,49.407854226912214
17,8,48.371393411286384
17,9,47.496022313332546
17,10,46.75637301792905
17,11,46.13138771283501
17,12,45.60352631106215
17,13,45.158123557989775
17,14,44.78287104668239
17,15,44.46739841773343
17,16,44.202936018773926
17,17,43.98204146712203
17,18,43.798378067148704
17,19,43.64653381383558
17,20,43.521875001372734
17,21,43.420423250527854
18,2,58.670038022207265
18,3,56.30500783198301
18,4,54.31382916900622
18,5,52.63208890105592
18,6,51.209325917955766
18,7,50.00427009593672
18,8,48.98274593787206
18,9,48.11632571354968
18,10,47.38129953637123
18,11,46.75784029457477
18,12,46.22931985364775
18,13,45.781747141796274
18,14,45.403310309913074
18,15,45.08400280226651
18,16,44.8153190728139
18,17,44.59000635246842
18,18,44.40186175411733
18,19,44.24556505215535
18,20,44.11654291272348
18,21,44.01085519530301
19,2,58.96170274562372
19,3,56.68825763715461
19,4,54.76418259655924
19,5,53.13114374054899
19,6,51.74325934148027
19,7,50.56273667939184
19,8,49.55803489198671
19,9,48.70271614796123
19,10,47.97457020653542
19,11,47.35489814367634
19,12,46.82791927085041
19,13,46.3802778221029
19,14,46.00063677657093
19,15,45.67934316646344
19,16,45.40815290028866
19,17,45.18000498217724
19,18,44.98883527866207
19,19,44.82942241903256
19,20,44.697261866373324
19,21,44.58845932943364
20,2,59.22767079023906
20,3,57.03993181637446
20,4,55.1798843499271
20,5,53.5943637836751
20,6,52.241426727168374
20,7,51.086308967038974
20,8,50.099793666468415
20,9,49.25722061772062
20,10,48.537735613047815
20,11,47.92367234638337
20,12,47.400035282875706
20,13,46.95406443277687
20,14,46.5748739332707
20,15,46.2531513720219
20,16,45.980908404582735
20,17,45.75127483227375
20,18,45.55832764168488
20,19,45.39694887637809
20,20,45.262707274574055
20,21,45.15176029890802
21,2,59.47116310542818
21,3,57.36370588442247
21,4,55.564653459721555
21,5,54.02527109869644
21,6,52.70702074277025
21,7,51.57778594059469
21,8,50.61040745453602
21,9,49.78181372130933
21,10,49.07237788040871
21,11,48.465378306106004
21,12,47.94654510289148
21,13,47.503675433341314
21,14,47.12631004415432
21,15,46.80546229612996
21,16,46.533391856046784
21,17,46.30341634361348
21,18,46.109753920090945
21,19,45.94739212838844
21,20,45.811977091622026
21,21,45.69972256065284
