Generations no drug,Generations drug,MM number
2,2,26.69559069272933
2,3,26.934983368581925
2,4,27.81928509336763
2,5,28.792597526601337
2,6,29.709298918008926
2,7,30.533948951249403
2,8,31.264745886385803
2,9,31.91002189701464
2,10,32.480395876695894
2,11,32.98612665582285
2,12,33.436309347887644
2,13,33.83873840945044
2,14,34.200002846703185
2,15,34.52564752292326
2,16,34.820339395549105
2,17,35.08801591477267
2,18,35.332011288562356
2,19,35.555160832938554
2,20,35.75988634911745
2,21,35.9482656909639
3,2,28.047150499495466
3,3,26.950092494821877
3,4,27.07581211676614
3,5,27.610735693271835
3,6,28.27543644851465
3,7,28.96091362143008
3,8,29.62272773437004
3,9,30.24344763789101
3,10,30.817605864843024
3,11,31.345155224517292
3,12,31.828455952557462
3,13,32.27083704507149
3,14,32.67589812110312
3,15,33.047173935270266
3,16,33.387980579645216
3,17,33.7013546923864
3,18,33.99003933676969
3,19,34.25649343525987
3,20,34.502911725786916
3,21,34.731248886000394
4,2,29.90868519437085
4,3,27.815588087524368
4,4,27.286650624567407
4,5,27.391091466745667
4,6,27.77080280870763
4,7,28.26777402868232
4,8,28.80644897178105
4,9,29.34906791737946
4,10,29.876531453203995
4,11,30.379448179758274
4,12,30.85365785689907
4,13,31.297874916300096
4,14,31.71239720026451
4,15,32.098377891760464
4,16,32.457405990786185
4,17,32.791262084653546
4,18,33.10177514418521
4,19,33.390741079036836
4,20,33.65987619755203
4,21,33.91079337386599
5,2,31.833805685805117
5,3,29.022382370567538
5,4,27.964768195814045
5,5,27.692733768011607
5,6,27.8046704959752
5,7,28.110905816624808
5,8,28.513991368440397
5,9,28.960957979629395
5,10,29.421971006139167
5,11,29.879936846377348
5,12,30.3250894153355
5,13,30.752014757749944
5,14,31.157942451260073
5,15,31.541729187429144
5,16,31.903236626119572
5,17,32.24294190286273
5,18,32.56168937442214
5,19,32.86053077682017
5,20,33.14062129969564
5,21,33.40315215781172
6,2,33.673051153277015
6,3,30.352825548334124
6,4,28.878789345692006
6,5,28.29069668497772
6,6,28.16630073944245
6,7,28.29633155237627
6,8,28.568257212379528
6,9,28.91793482764834
6,10,29.307264350599965
6,11,29.712989126872518
6,12,30.120703796816656
6,13,30.521472429702648
6,14,30.90983251847073
6,15,31.282572582366576
6,16,31.63795996438895
6,17,31.97524033933877
6,18,32.29430632055485
6,19,32.59547449030446
6,20,32.87933321972378
6,21,33.14663812884381
7,2,35.37784437991916
7,3,31.70432827423385
7,4,29.907149784181414
7,5,29.05906549610371
7,6,28.732123239258936
7,7,28.70593894982448
7,8,28.857911858339428
7,9,29.115821296317442
7,10,29.43527910491655
7,11,29.788157248669805
7,12,30.15626748670311
7,13,30.527724099849575
7,14,30.89475586354979
7,15,31.252339522957993
7,16,31.597318675367042
7,17,31.927819751340618
7,18,32.242856377463056
7,19,32.54205600468709
7,20,32.82546838790421
7,21,33.09342969523742
8,2,36.938208820423256
8,3,33.02657981072262
8,4,30.981986293467425
8,5,29.922938123958154
8,6,29.425420281909844
8,7,29.26392334630859
8,8,29.30949443883644
8,9,29.48421162552893
8,10,29.738962624300832
8,11,30.041801963547623
8,12,30.371480225740946
8,13,30.713661495767205
8,14,31.058614086870556
8,15,31.399746604958878
8,16,31.732649667411035
8,17,32.05445030243382
8,18,32.36336710386495
8,19,32.658397359587546
8,20,32.939093439352824
8,21,33.20540098221055
9,2,38.35942868834241
9,3,34.29515633336459
9,4,32.064080393279305
9,5,30.835892414307146
9,6,30.19657816719464
9,7,29.919709117297465
9,8,29.87274324953696
9,9,29.973888116652827
9,10,30.17054587058573
9,11,30.42780876169187
9,12,30.721965576155547
9,13,31.03665531320106
9,14,31.36048962370674
9,15,31.68552744029496
9,16,32.00626417474012
9,17,32.31894174522786
9,18,32.62106669927469
9,19,32.91106688889746
9,20,33.18804196812721
9,21,33.45158028821843
10,2,39.65246158996978
10,3,35.49914480123331
10,4,33.13044794513378
10,5,31.768377683870888
10,6,31.012557401146246
10,7,30.638558376974597
10,8,30.51229847031348
10,9,30.549527746773613
10,10,30.695146328470013
10,11,30.911978493428954
10,12,31.174347933456303
10,13,31.46422725471937
10,14,31.768832968466196
10,15,32.079065799859485
10,16,32.38846694153501
10,17,32.69249749342831
10,18,32.988029508049394
10,19,33.272979370080364
10,20,33.54603743298268
10,21,33.80646794719789
11,2,40.82982137900673
11,3,36.63488867956223
11,4,34.16770796214546
11,5,32.70129116722043
11,6,31.850900005763297
11,7,31.39608915774135
11,8,31.202745913194775
11,9,31.1852525431032
11,10,31.286789336020682
11,11,31.468477287682337
11,12,31.703086825198294
11,13,31.971227371386046
11,14,32.2589441360601
11,15,32.556146479966614
11,16,32.855545369954456
11,17,33.15191499146207
11,18,33.44156312657831
11,19,33.72194806282473
11,20,33.991391700289064
11,21,34.248865497141196
12,2,41.903807153802454
12,3,37.70265843071855
12,4,35.16833276058861
12,5,33.62222295568849
12,6,32.69613686730456
12,7,32.17491679704359
12,8,31.92551998814809
12,9,31.861797947277235
12,10,31.92583279915259
12,11,32.07750266076419
12,12,32.288367279409066
12,13,32.53792849353995
12,14,32.81125246217722
12,15,33.09740187949325
12,16,33.38836764290301
12,17,33.67831910129972
12,18,33.96306396885878
12,19,34.239650660897475
12,20,34.50607001469635
12,21,34.761029571463894
13,2,42.88578528403225
13,3,38.70481384675371
13,4,36.12843356589203
13,5,34.52316167824926
13,6,33.537539748417885
13,7,32.962512235967196
13,8,32.66689423340116
