Strength WMMd IH,Strength MMd GF IH,MM number
0.0,0.0,46.26032915596466
0.0,0.02,43.819242078893836
0.0,0.04,41.78738161317189
0.0,0.06,40.00810861688811
0.0,0.08,38.36066700903238
0.0,0.1,36.904887780351814
0.0,0.12,35.68677156124741
0.0,0.14,34.533283572853165
0.0,0.16,33.57001831909628
0.0,0.18,32.70870175832731
0.0,0.2,31.874199904394736
0.0,0.22,31.122289874162064
0.0,0.24,30.501274375434257
0.0,0.26,29.884132696655755
0.0,0.28,29.378802131943537
0.0,0.3,28.92087536857033
0.0,0.32,28.45216917324052
0.0,0.34,28.02306700641582
0.0,0.36,27.679566140304217
0.0,0.38,27.315850535293762
0.0,0.4,27.028624095850397
0.02,0.0,43.44421000277281
0.02,0.02,41.2848625926349
0.02,0.04,39.48858389560022
0.02,0.06,37.913788878308765
0.02,0.08,36.45000474510621
0.02,0.1,35.15601353708189
0.02,0.12,34.077865737143824
0.02,0.14,33.053007876559285
0.02,0.16,32.202372656181254
0.02,0.18,31.443050371476097
0.02,0.2,30.70378952231671
0.02,0.22,30.03866812543155
0.02,0.24,29.49500182907672
0.02,0.26,28.95089546553069
0.02,0.28,28.51107628006908
0.02,0.3,28.11375373671355
0.02,0.32,27.702711560894123
0.02,0.34,27.327066803897672
0.02,0.36,27.031961165887395
0.02,0.38,26.714528901048013
0.02,0.4,26.46933491250482
0.04,0.0,41.07482871639228
0.04,0.02,39.15188632505368
0.04,0.04,37.55481555112223
0.04,0.06,36.07642270875928
0.04,0.08,34.84781337793305
0.04,0.1,33.693333838165756
0.04,0.12,32.73667222058131
0.04,0.14,31.823958256559305
0.04,0.16,31.072143042870486
0.04,0.18,30.343014045009888
0.04,0.2,29.74772560670141
0.04,0.22,29.159692575354466
0.04,0.24,28.68517223361849
0.04,0.26,28.20646091485714
0.04,0.28,27.82568610013619
0.04,0.3,27.432105750599064
0.04,0.32,27.124335752364644
0.04,0.34,26.797226679282375
0.04,0.36,26.546367019592044
0.04,0.38,26.271206527643802
0.04,0.4,26.0646785764988
0.06,0.0,39.06686547477163
0.06,0.02,37.345365951522936
0.06,0.04,35.91929611809894
0.06,0.06,34.59504941395203
0.06,0.08,33.49962118306894
0.06,0.1,32.46709016234499
0.06,0.12,31.617308384685728
0.06,0.14,30.803651860218565
0.06,0.16,30.139681816946386
0.06,0.18,29.492731421202663
0.06,0.2,28.971035235983464
0.06,0.22,28.452336319587115
0.06,0.24,28.040411871850623
0.06,0.26,27.620985056822242
0.06,0.28,27.29409349014191
0.06,0.3,26.951737015968416
0.06,0.32,26.690781343934365
0.06,0.34,26.408286676325822
0.06,0.36,26.19838341981159
0.06,0.38,25.962312653019318
0.06,0.4,25.791797941396155
0.08,0.0,37.35549779017474
0.08,0.02,35.80800589935903
0.08,0.04,34.53069571790407
0.08,0.06,33.34131649995808
0.08,0.08,32.363184764571024
0.08,0.1,31.43855226479485
0.08,0.12,30.683943870051586
0.08,0.14,29.958817747925167
0.08,0.16,29.373858920029996
0.08,0.18,28.801030978272266
0.08,0.2,28.346140433510264
0.08,0.22,27.890510421025972
0.08,0.24,27.535898406527654
0.08,0.26,27.170822814142795
0.08,0.28,26.89366089163557
0.08,0.3,26.59860670379123
0.08,0.32,26.381175838351652
0.08,0.34,26.140155409096757
0.08,0.36,25.968590075474275
0.08,0.38,25.769077731584783
0.08,0.4,25.63248249589308
0.1,0.0,35.8906067451372
0.1,0.02,34.495260696154126
0.1,0.04,33.348913078286245
0.1,0.06,32.278888260963114
0.1,0.08,31.40523666619996
0.1,0.1,30.57711889989858
0.1,0.12,29.908185981336057
0.1,0.14,29.263023391335622
0.1,0.16,28.74988545700657
0.1,0.18,28.244610736611712
0.1,0.2,27.850997791954715
0.1,0.22,27.453328673746118
0.1,0.24,27.15173251977711
0.1,0.26,26.836996263992
0.1,0.28,26.606199800330423
0.1,0.3,26.355274960229792
0.1,0.32,26.178723331772947
0.1,0.34,25.97665419348086
0.1,0.36,25.84134089705398
0.1,0.38,25.676374121753735
0.1,0.4,25.572052336093577
0.12,0.0,34.63283407432658
0.12,0.02,33.371974784977425
0.12,0.04,32.34216151820168
0.12,0.06,31.37885283875118
0.12,0.08,30.599217366964677
0.12,0.1,29.858286811913615
0.12,0.12,29.26724009534167
0.12,0.14,28.694998949506935
0.12,0.16,28.2477741160183
0.12,0.18,27.804648043807255
0.12,0.2,27.467773591385754
0.12,0.22,27.123870159912478
0.12,0.24,26.871773265859296
0.12,0.26,26.60409664714931
0.12,0.28,26.416930030042767
0.12,0.3,26.20755908494407
0.12,0.32,26.069756259810447
0.12,0.34,25.904612660768137
0.12,0.36,25.803894890281356
0.12,0.38,25.671880328588294
0.12,0.4,25.59854846424609
0.14,0.0,33.55083944428485
0.14,0.02,32.41002841624582
0.14,0.04,31.484916053433647
0.14,0.06,30.617913939696862
0.14,0.08,29.92366101864669
0.14,0.1,29.26219922222263
0.14,0.12,28.742590736418258
0.14,0.14,28.237431774982618
0.14,0.16,27.85122629755203
0.14,0.18,27.46577015510759
0.14,0.2,27.181881593656087
0.14,0.22,26.888279834548975
0.14,0.24,26.682791209023705
0.14,0.26,26.459483168824004
0.14,0.28,26.313717562996434
0.14,0.3,26.143809161061952
0.14,0.32,26.043043058138064
0.14,0.34,25.91320451822396
0.14,0.36,25.845776207243794
0.14,0.38,25.745464600010436
0.14,0.4,25.7021378695192
0.16,0.0,32.61935360790755
0.16,0.02,31.58665756523025
0.16,0.04,30.75643971345434
0.16,0.06,29.977086637213755
0.16,0.08,29.361026230778236
0.16,0.1,28.772591190332825
0.16,0.12,28.319039336022204
0.16,0.14,27.876084870631153
0.16,0.16,27.546816173946702
0.16,0.18,27.2152964605742
0.16,0.2,26.98127655787112
0.16,0.22,26.73510352493318
0.16,0.24,26.57383935252024
0.16,0.26,26.392688665083227
0.16,0.28,26.286509408460734
0.16,0.3,26.154369766266143
0.16,0.32,26.08927176305626
0.16,0.34,25.993452161598015
0.16,0.36,25.958298442243375
0.16,0.38,25.888727184211135
0.16,0.4,25.874670164422373
0.18,0.0,31.74825841385165
0.18,0.02,30.883232469320102
0.18,0.04,30.13970749859355
0.18,0.06,29.440740097327662
0.18,0.08,28.838038778389027
0.18,0.1,28.37600931161511
0.18,0.12,27.983991035353927
0.18,0.14,27.599139593980766
0.18,0.16,27.270478161682604
0.18,0.18,27.04267339480196
0.18,0.2,26.855922606891546
0.18,0.22,26.654789253008595
0.18,0.24,26.53578237186037
0.18,0.26,26.394973784815722
0.18,0.28,26.326907759224426
0.18,0.3,26.23117231049126
0.18,0.32,26.15355569632663
0.18,0.34,26.137853922722364
0.18,0.36,26.134203679986378
0.18,0.38,26.094651510023986
0.18,0.4,26.063990094335363
0.2,0.0,31.06157690894642
0.2,0.02,30.284356762788068
0.2,0.04,29.62060775949618
0.2,0.06,28.995886204107762
0.2,0.08,28.461296078609898
