Generations no drug,Generations drug,MM number
2,2,37.93742153116871
2,3,37.74293755705736
2,4,37.93657363221677
2,5,38.19477806473595
2,6,38.44312929245238
2,7,38.66469164588024
2,8,38.858038319985305
2,9,39.02593414961681
2,10,39.17195834690775
2,11,39.29948582843873
2,12,39.41142454896967
2,13,39.510199093952785
2,14,39.59780781116824
2,15,39.67589433636302
2,16,39.74581389625693
2,17,39.808689006562716
2,18,39.86545475965077
2,19,39.916894783553516
2,20,39.963669811734405
2,21,40.00634016174627
3,2,39.09732604986461
3,3,38.14603341508454
3,4,37.9707442124879
3,5,38.041552356994934
3,6,38.193649227897644
3,7,38.36751379205857
3,8,38.54015088608586
3,9,38.7027373833809
3,10,38.85233072111611
3,11,38.98850128433967
3,12,39.111877202426506
3,13,39.22349119309837
3,14,39.32448289966265
3,15,39.4159654863509
3,16,39.4989697559461
3,17,39.57442527796043
3,18,39.64315889611478
3,19,39.70590083112098
3,20,39.763294048075544
3,21,39.81590403231839
4,2,40.52913458899112
4,3,38.957613915169304
4,4,38.419719232848024
4,5,38.275361969737865
4,6,38.296916667489256
4,7,38.39049356203785
4,8,38.51369974442688
4,9,38.64632605510123
4,10,38.7785001771453
4,11,38.90544128029296
4,12,39.02497333604781
4,13,39.13628264501264
4,14,39.239272173218296
4,15,39.334215863150796
4,16,39.421569873662335
4,17,39.501868330885635
4,18,39.57566587014802
4,19,39.64350626165291
4,20,39.70590631643267
4,21,39.76334806313258
5,2,41.98371021178842
5,3,39.94438640904481
5,4,39.09396147605283
5,5,38.745492387479445
5,6,38.63239723240395
5,7,38.63595999788408
5,8,38.69837395092897
5,9,38.78972130751513
5,10,38.89387337874924
5,11,39.00192319051822
5,12,39.1089151824347
5,13,39.21212850437066
5,14,39.31013697893968
5,15,39.4022762412287
5,16,39.4883334529494
5,17,39.568362229414134
5,18,39.64257048406774
5,19,39.71125151624772
5,20,39.77474135742699
5,21,39.833392289383795
6,2,43.36914478838704
6,3,40.991176710840925
6,4,39.88636567575665
6,5,39.35892002717288
6,6,39.12066194264982
6,7,39.036114487964525
6,8,39.03596434370245
6,9,39.08254439778228
6,10,39.15447330777383
6,11,39.23923475001252
6,12,39.32935526965442
6,13,39.42033213164925
6,14,39.509461956324834
6,15,39.59515496599285
6,16,39.67652192510202
6,17,39.753118785412035
6,18,39.824785688382214
6,19,39.89154355290512
6,20,39.953526706899815
6,21,40.01093859741994
7,2,44.654233890719475
7,3,42.03913440793174
7,4,40.7341619704336
7,5,40.05642099036771
7,6,39.70802325526516
7,7,39.54292101534357
7,8,39.483589756506106
7,9,39.48642267016287
7,10,39.52580704650604
7,11,39.58620581997181
7,12,39.65797158593013
7,13,39.73502199716195
7,14,39.81349510517987
7,15,39.890944381777
7,16,39.96584269683507
7,17,40.037268633749534
7,18,40.10470402342622
7,19,40.16790043963733
7,20,40.22679003916455
7,21,40.28142492101688
8,2,45.832642007081446
8,3,43.058068907658885
8,4,41.599754839696814
8,5,40.79948189905269
8,6,40.3575371531083
8,7,40.12185497649822
8,8,40.0093145005022
8,9,39.971901247597714
8,10,39.980690518712045
8,11,40.01768824154074
8,12,40.071425247156164
8,13,40.13446284954999
8,14,40.201923799433025
8,15,40.27059746389896
8,16,40.33837896610694
8,17,40.403909020460674
8,18,40.466336848688755
8,19,40.525161655657975
