Strength WMMd IH,Strength MMd GF IH,MM number
0.0,0.0,0.3969867159864045
0.0,0.02,0.3877629704111884
0.0,0.04,0.37930832639799306
0.0,0.06,0.3716321156713694
0.0,0.08,0.3647372452333685
0.0,0.1,0.3585184574291431
0.0,0.12,0.35288268788136423
0.0,0.14,0.3478703995964971
0.0,0.16,0.3433525099801088
0.0,0.18,0.3393261654225398
0.0,0.2,0.33577310854060194
0.0,0.22,0.3326169399376332
0.0,0.24,0.3298023585539327
0.0,0.26,0.32732970715793247
0.0,0.28,0.3251368427080429
0.0,0.3,0.32320827848145967
0.0,0.32,0.3215146610866121
0.0,0.34,0.32002224388462364
0.0,0.36,0.3187150110219912
0.0,0.38,0.3175598810022977
0.0,0.4,0.31655557981184135
0.02,0.0,0.38659026250568973
0.02,0.02,0.3778369340671893
0.02,0.04,0.36986107616772
0.02,0.06,0.3626628476316347
0.02,0.08,0.35623464564854673
0.02,0.1,0.3504755816170262
0.02,0.12,0.34529860676670976
0.02,0.14,0.3407264944173524
0.02,0.16,0.33664502896036347
0.02,0.18,0.33304199664422485
0.02,0.2,0.3298893955106629
0.02,0.22,0.3271186304550985
0.02,0.24,0.32468265496478815
0.02,0.26,0.3225639505860428
0.02,0.28,0.32071766546562236
0.02,0.3,0.31911944293875094
0.02,0.32,0.31773132801369236
0.02,0.34,0.3165285025499529
0.02,0.36,0.31550359272867634
0.02,0.38,0.31460696439916663
0.02,0.4,0.31385436582694415
0.04,0.0,0.37720044480058024
0.04,0.02,0.368926761776487
0.04,0.04,0.3614367027627613
0.04,0.06,0.3547601297750743
0.04,0.08,0.34876400677131725
0.04,0.1,0.3434672462608169
0.04,0.12,0.3387502512277822
0.04,0.14,0.33461885787637125
0.04,0.16,0.3309732745634577
0.04,0.18,0.3278054787901571
0.04,0.2,0.32503889879499154
0.04,0.22,0.32265184121575774
0.04,0.24,0.32059211413718
0.04,0.26,0.31882518306035945
0.04,0.28,0.31732277233123374
0.04,0.3,0.3160387083390983
0.04,0.32,0.3149670851323667
0.04,0.34,0.3140514591981068
0.04,0.36,0.3133061007569599
0.04,0.38,0.31266568761102853
0.04,0.4,0.3121621645871738
0.06,0.0,0.3687357659545584
0.06,0.02,0.3609478085478608
0.06,0.04,0.3539476431989808
0.06,0.06,0.3477500485769316
0.06,0.08,0.3422325987248719
0.06,0.1,0.3373984424732971
0.06,0.12,0.33314051175744197
0.06,0.14,0.3294484505062375
0.06,0.16,0.3262364286895437
0.06,0.18,0.3234800362587675
0.06,0.2,0.3211176557369293
0.06,0.22,0.31911121913838286
0.06,0.24,0.3174240993454325
0.06,0.26,0.31600558059061423
0.06,0.28,0.31484324287228427
0.06,0.3,0.3138750742720372
0.06,0.32,0.3131110539748946
0.06,0.34,0.31247936034781715
0.06,0.36,0.31200997141456166
0.06,0.38,0.31162273200002166
0.06,0.4,0.3113649560930895
0.08,0.0,0.3611219602600352
0.08,0.02,0.35382316258066615
0.08,0.04,0.34731454670224365
0.08,0.06,0.34159643647529003
0.08,0.08,0.33655677841745746
0.08,0.1,0.3321836452872408
0.08,0.12,0.3283821358107083
0.08,0.14,0.32512643575968525
0.08,0.16,0.322344202213495
0.08,0.18,0.3199954076527345
0.08,0.2,0.3180328152599664
0.08,0.22,0.3164027810526169
0.08,0.24,0.31508358709753215
0.08,0.26,0.3140091557518977
0.08,0.28,0.31318220203787156
0.08,0.3,0.31252570895165677
0.08,0.32,0.3120647725745398
0.08,0.34,0.31171303339930734
0.08,0.36,0.3115153748139262
0.08,0.38,0.3113776533076885
0.08,0.4,0.3113617297199215
0.1,0.0,0.35429128725474046
0.1,0.02,0.34748285991527383
0.1,0.04,0.3414654098518434
0.1,0.06,0.3362254274020012
0.1,0.08,0.3316609780780099
0.1,0.1,0.3277457314674328
0.1,0.12,0.3243965811518704
0.1,0.14,0.32157297263614115
0.1,0.16,0.31921556779605037
0.1,0.18,0.317269475724484
0.1,0.2,0.31570126369429585
0.1,0.22,0.31444249313927014
0.1,0.24,0.313485700846566
0.1,0.26,0.31275024939230023
0.1,0.28,0.31225327317088825
0.1,0.3,0.311903565806541
0.1,0.32,0.31174057755418133
0.1,0.34,0.31166423774389773
0.1,0.36,0.31173354022999356
0.1,0.38,0.31184118130658245
0.1,0.4,0.3120627541005321
0.12,0.0,0.34818189750821876
0.12,0.02,0.34186318029892115
0.12,0.04,0.3363348086765801
0.12,0.06,0.3315700472323002
0.12,0.08,0.32747681432678294
0.12,0.1,0.3240150352308767
0.12,0.12,0.3211130175406421
0.12,0.14,0.3187161666061267
0.12,0.16,0.3167776645869295
0.12,0.18,0.3152284915997701
0.12,0.2,0.31404844428033
0.12,0.22,0.31315505165094204
0.12,0.24,0.31255445580417235
0.12,0.26,0.31215224324566027
0.12,0.28,0.31197925755782235
0.12,0.3,0.3119309033512302
0.12,0.32,0.3120602318989677
0.12,0.34,0.31225426830519065
0.12,0.36,0.3125853332969234
0.12,0.38,0.31293377543099754
0.12,0.4,0.31338811617585544
0.14,0.0,0.342737257883295
0.14,0.02,0.33690601972271383
0.14,0.04,0.3318632168853931
0.14,0.06,0.3275694802657477
