Generations no drug,Generations drug,MM number
2,2,0.4180061143785209
2,3,0.41285819497150467
2,4,0.4060676077808035
2,5,0.3991070926711533
2,6,0.3924820166639661
2,7,0.38636922603086676
2,8,0.3808090641992554
2,9,0.3757828396243943
2,10,0.3712480721083879
2,11,0.3671550159080362
2,12,0.3634542778847559
2,13,0.36010007156648005
2,14,0.3570514018597025
2,15,0.35427216596881417
2,16,0.35173093926053334
2,17,0.3494004170769002
2,18,0.3472569441374115
2,19,0.34528001213570775
2,20,0.34345182515022
2,21,0.34175689146762533
3,2,0.4291172818810189
3,3,0.4273173489088244
3,4,0.4228545456361213
3,5,0.41762864219095863
3,6,0.4122732516543846
3,7,0.40703259701689276
3,8,0.40201294746081745
3,9,0.3972613424457778
3,10,0.3927948865842782
3,11,0.3886141329303601
3,12,0.38471028102116084
3,13,0.3810694252511603
3,14,0.37767515145581815
3,15,0.37451014678089956
3,16,0.37155716107413506
3,17,0.3687995781113298
3,18,0.36622172226405264
3,19,0.36380900989054826
3,20,0.36154799617746547
3,21,0.3594263609521093
4,2,0.43454831747501715
4,3,0.43555837826711
4,4,0.4329607063293994
4,5,0.4290021154477785
4,6,0.4245868470588775
4,7,0.4200811608627479
4,8,0.41563973840572505
4,9,0.4113319437391063
4,10,0.407190346229087
4,11,0.4032299250931428
4,12,0.39945620843582474
4,13,0.3958691247516278
4,14,0.39246508395969815
4,15,0.3892382502551742
4,16,0.3861813876815069
4,17,0.3832864471049544
4,18,0.3805449842277262
4,19,0.37794844820811707
4,20,0.3754883921381073
4,21,0.3731566064481615
5,2,0.4364931760950252
5,3,0.43981716122967873
5,4,0.43905937598566086
5,5,0.43638879048456136
5,6,0.4328777406712055
5,7,0.42903913822480955
5,8,0.4251153622478858
5,9,0.42122154855054095
5,10,0.4174133722659669
5,11,0.413718329048323
5,12,0.41015005494900453
5,13,0.4067149424695249
5,14,0.4034152823174592
5,15,0.4002508412912261
5,16,0.3972197255554736
5,17,0.39431890227029615
5,18,0.3915445481396463
5,19,0.38889230127921914
5,20,0.38635745155422846
5,21,0.3839350829141821
6,2,0.43661841680664093
6,3,0.4416246460027129
6,4,0.4425002911957093
6,5,0.4411178416852061
6,6,0.43855697696617907
6,7,0.43541567633532724
6,8,0.4320163007908114
6,9,0.42853005963946705
6,10,0.42504748887920785
6,11,0.4216166640160853
6,12,0.4182633548063221
6,13,0.4150014783250905
6,14,0.41183848291739666
6,15,0.40877812642854006
6,16,0.4058219330290927
6,17,0.4029699802118447
6,18,0.4002213490600943
6,19,0.39757440309156605
6,20,0.3950269734846421
6,21,0.39257649672689693
7,2,0.4358609490895103
7,3,0.44200094436166565
7,4,0.4442008782168274
7,5,0.44399782618352646
7,6,0.4423819326782184
7,7,0.4399668648867038
7,8,0.43712148251727745
7,9,0.43406271786222644
7,10,0.4309164724550112
7,11,0.4277554060088648
7,12,0.42462150330437776
7,13,0.4215391899747208
7,14,0.4185228103274692
7,15,0.41558084522235195
7,16,0.4127182766566215
7,17,0.40993791717078515
7,18,0.40724116326403503
7,19,0.40462843592323955
7,20,0.40209944941891035
7,21,0.399653383376274
8,2,0.43470668451812366
8,3,0.4415699910375514
8,4,0.4447870106520069
8,5,0.44559533025645676
8,6,0.44485923569389707
8,7,0.44316211776618303
8,8,0.4408860233922284
8,9,0.4382751838164841
8,10,0.4354830517445798
8,11,0.43260501088039444
8,12,0.42970008677480787
8,13,0.4268048587518068
8,14,0.4239421468439803
8,15,0.42112634283265826
8,16,0.41836662702730437
8,17,0.41566891138688566
8,18,0.4130369932567819
8,19,0.4104732546527234
8,20,0.4079790861403257
8,21,0.4055551499591531
9,2,0.43340263902321285
9,3,0.4406995966185617
9,4,0.4446721046830166
9,5,0.44631255956734134
9,6,0.4463568577473683
9,7,0.44533537443764837
9,8,0.4436197401747564
9,9,0.4414640933646453
9,10,0.43903892119571586
9,11,0.4364570454210691
9,12,0.43379251584843137
9,13,0.43109379954850857
9,14,0.4283926922517129
9,15,0.42571020341275584
9,16,0.4230603685229513
9,17,0.4204526903302139
9,18,0.4178936845084228
9,19,0.4153878563753507
9,20,0.4129383171931748
9,21,0.4105471792693274
10,2,0.43207324002493896
10,3,0.4396042288979578
10,4,0.4441242227998033
10,5,0.4464316492026004
10,6,0.44714605521529976
10,7,0.44673736569267897
10,8,0.4455531261908388
10,9,0.44384440247341744
10,10,0.44178901095117684
10,11,0.43951096825848285
10,12,0.43709585638025744
10,13,0.4346023829217987
10,14,0.4320707692247084
10,15,0.429528663525001
10,16,0.42699521549705616
10,17,0.4244838312181319
10,18,0.4220040204677712
10,19,0.4195626184948347
10,20,0.4171645895409767
10,21,0.4148135582642618
11,2,0.43077986115652905
11,3,0.43840867737401673
11,4,0.4433160157631051
11,5,0.4461486097595512
11,6,0.44742611605499205
11,7,0.44755895829248105
11,8,0.44686422656993546
11,9,0.4455815713506433
11,10,0.4438885892964846
11,11,0.4419147740148624
11,12,0.4397533986685164
11,13,0.43747109554442964
11,14,0.4351152762280656
11,15,0.4327196805781662
11,16,0.43030841422991173
11,17,0.4278988331923304
11,18,0.42550356590055594
11,19,0.4231319109466483
11,20,0.4207907998088632
11,21,0.4184854538035214
12,2,0.42955111005921504
12,3,0.43718534062980463
12,4,0.44235858299654596
12,5,0.4455990107879221
12,6,0.4473427181450037
12,7,0.4479454879416338
12,8,0.4476922151673226
12,9,0.4468064678562476
12,10,0.4454603865165408
12,11,0.4437843487167279
12,12,0.4418757973667485
12,13,0.43980684854614965
12,14,0.43763055355351477
12,15,0.435385838447129
12,16,0.4331013012413919
12,17,0.4307980533080074
12,18,0.428491790726541
12,19,0.42619430276655995
12,20,0.4239145393290813
12,21,0.4216593694159463
13,2,0.42839845056370507
13,3,0.435975782723318
13,4,0.44132345344359536
13,5,0.444876533878116
13,6,0.44700202727965027
13,7,0.44800735310662815
13,8,0.44814608868931594
13,9,0.4476236368880154
13,10,0.4466033973470747
13,11,0.4452132519263337
13,12,0.4435519059540058
13,13,0.4416947190621156
13,14,0.4396987793974211
13,15,0.43760714625022523
13,16,0.4354522619588405
13,17,0.43325861443133756
13,18,0.4310447852322679
13,19,0.42882497000332
13,20,0.42661011824449585
13,21,0.4244087530311062
14,2,0.42732440073591466
14,3,0.4348032520768706
14,4,0.4402566336465915
14,5,0.444045959872838
14,6,0.44648134333482403
14,7,0.44782824073122013
14,8,0.44831113073561063
14,9,0.448116814723861
14,10,0.44739814063861144
14,11,0.44627819416788034
14,12,0.44485470977625524
14,13,0.44320438537431
14,14,0.44138687644884633
14,15,0.4394483097607515
14,16,0.43742423423902943
14,17,0.4353420525000803
14,18,0.4332229347754619
14,19,0.4310833270898006
14,20,0.4289360887082135
14,21,0.4267913538104066
15,2,0.42632690811531976
15,3,0.43368003845174674
15,4,0.43918755860229236
15,5,0.44315211853699743
15,6,0.4458369689692952
15,7,0.4474715424003261
15,8,0.4482539906719742
15,9,0.4483530723075413
15,10,0.4479102982020333
15,11,0.44704252082211254
15,12,0.4458448796300478
15,13,0.4443939028468953
15,14,0.44275054373555534
15,15,0.4409629938321332
15,16,0.4390691891405517
15,17,0.4370989238728891
15,18,0.43507562595440463
15,19,0.4330177655354065
15,20,0.43093997349481644
15,21,0.4288539209797858
16,2,0.4254017127961651
16,3,0.43261184713635903
16,4,0.43813483484806365
16,5,0.44222602072112
16,6,0.44510994630861556
16,7,0.4469852805995828
16,8,0.4480267264986424
16,9,0.4483861051469043
16,10,0.4481934847532495
16,11,0.4475586866270323
16,12,0.44657316017858467
16,13,0.4453121132549543
16,14,0.4438367449556314
16,15,0.4421964527630401
16,16,0.4404308630849511
16,17,0.43857166812762444
16,18,0.4366441811771927
16,19,0.43466864165685026
16,20,0.4326612941695544
16,21,0.43063523219742533
17,2,0.4245436268536235
17,3,0.4316004447278905
17,4,0.4371099467517182
17,5,0.44128905998029055
17,6,0.44433021650591165
17,7,0.4464058557852015
17,8,0.44767000397757806
17,9,0.44825888448059864
17,10,0.44829145716466806
17,11,0.44787018105609055
17,12,0.447082114894828
17,13,0.44600031225237863
17,14,0.4446854019782092
17,15,0.4431872410907105
17,16,0.441546557217269
17,17,0.4397964497929851
17,18,0.437963755609507
17,19,0.43607023326358724
17,20,0.4341335495638499
17,21,0.432168085236241
18,2,0.4237472263253544
18,3,0.4306452685053479
18,4,0.4361196744874957
18,5,0.4403559039749903
18,6,0.44351961813654855
18,7,0.44576089009454267
18,8,0.4472155973661592
18,9,0.44800580554169117
18,10,0.4482399374831694
18,11,0.4480130706711398
18,12,0.44740748893936233
18,13,0.4464935213381747
18,14,0.4453305904504927
18,15,0.4439684334399695
18,16,0.44244834029444985
18,17,0.4408043912287204
18,18,0.439064617032634
18,19,0.4372520336303287
18,20,0.43538552789176105
18,21,0.4334806457545937
19,2,0.42300721263083235
19,3,0.42974441776778816
19,4,0.43516768726484756
19,5,0.4394364918290116
19,6,0.4426940612705662
19,7,0.445071352799168
19,8,0.4466883629867634
19,9,0.4476544072726048
19,10,0.4480680824780011
19,11,0.44801727269035674
19,12,0.44757932395658223
19,13,0.44682146872277684
19,14,0.4458014825764152
19,15,0.4445684936667928
19,16,0.4431639262239705
19,17,0.4416224695960533
19,18,0.4399730394412521
19,19,0.4382396498123544
19,20,0.4364422428866756
19,21,0.4345973721657376
20,2,0.42231859388756215
20,3,0.4288952661895484
20,4,0.43425559839754274
20,5,0.4385374337810688
20,6,0.4418650952538536
20,7,0.4443531633942199
20,8,0.44610775725262997
20,9,0.4472267612306311
20,10,0.4477997131519666
20,11,0.44790761727552514
20,12,0.44762287899841535
20,13,0.4470094385073127
20,14,0.4461230874254564
20,15,0.44501199372917355
20,16,0.4437173623728843
20,17,0.4422741758024158
20,18,0.44071194239640354
20,19,0.43905547802935857
20,20,0.4373255804564821
20,21,0.43553968540413257
21,2,0.4216767632729782
21,3,0.4280948388021768
21,4,0.43338367405917105
21,5,0.4376629770684497
21,6,0.4410410496390007
21,7,0.4436184055335413
21,8,0.44548901634050897
21,9,0.44674056701951165
21,10,0.4474542938084099
21,11,0.4477047146430687
21,12,0.4475594094856726
21,13,0.4470789233663033
21,14,0.4463168637849683
21,15,0.4453201708684337
21,16,0.44412955909617396
21,17,0.4427800115765729
21,18,0.44130142430231684
21,19,0.43971918739173893
21,20,0.4380548075750762
21,21,0.4363264526942424
