Strength WMMd IH,Strength MMd GF IH,MM number
0.0,0.0,0.407771718993446
0.0,0.02,0.39966848149105927
0.0,0.04,0.3922504076335299
0.0,0.06,0.38549602844841874
0.0,0.08,0.379379858411365
0.0,0.1,0.3738414715122349
0.0,0.12,0.3688300555860968
0.0,0.14,0.3643252873809897
0.0,0.16,0.3602733863135058
0.0,0.18,0.3566451571571898
0.0,0.2,0.3533988939769701
0.0,0.22,0.3504975808880061
0.0,0.24,0.34792159183665083
0.0,0.26,0.34561791296874356
0.0,0.28,0.34358769759817825
0.0,0.3,0.34179117076773236
0.0,0.32,0.3401766735331185
0.0,0.34,0.3387422296272971
0.0,0.36,0.3375009158969354
0.0,0.38,0.3363706537512683
0.0,0.4,0.3354038324534531
0.02,0.0,0.3977164494527424
0.02,0.02,0.3900686701830196
0.02,0.04,0.38311315255488
0.02,0.06,0.3768202652434969
0.02,0.08,0.3711550519564268
0.02,0.1,0.3660612260704349
0.02,0.12,0.36149363980042787
0.02,0.14,0.35741572714278746
0.02,0.16,0.3537875066007242
0.02,0.18,0.35057117015374495
0.02,0.2,0.3477159487214856
0.02,0.22,0.3451920676509914
0.02,0.24,0.34298762566296015
0.02,0.26,0.34103287934043014
0.02,0.28,0.3393451702746828
0.02,0.3,0.3378763788547652
0.02,0.32,0.33656667042629546
0.02,0.34,0.33542242552692714
0.02,0.36,0.33446487300716604
0.02,0.38,0.3335961754003756
0.02,0.4,0.33288483739768004
0.04,0.0,0.38868894657924546
0.04,0.02,0.38150680820478744
0.04,0.04,0.375021977300171
0.04,0.06,0.36920037173333653
0.04,0.08,0.3639878260406988
0.04,0.1,0.35934234389551833
0.04,0.12,0.35522097714337436
0.04,0.14,0.35157156306824644
0.04,0.16,0.34836754063104686
0.04,0.18,0.3455455277909162
0.04,0.2,0.3430981875959904
0.04,0.22,0.340950751710844
0.04,0.24,0.3391161404317629
0.04,0.26,0.33750864774112954
0.04,0.28,0.3361611719236419
0.04,0.3,0.33497790598721244
0.04,0.32,0.33401055128899937
0.04,0.34,0.333154247032055
0.04,0.36,0.3324777792449201
0.04,0.38,0.33186836642641915
0.04,0.4,0.3314098655562199
0.06,0.0,0.3806080951853978
0.06,0.02,0.3738985445533505
0.06,0.04,0.3678894784573177
0.06,0.06,0.36253312313898767
0.06,0.08,0.357785231613555
0.06,0.1,0.3535893675484351
0.06,0.12,0.3499142564980223
0.06,0.14,0.3466927925386727
0.06,0.16,0.34391143235706734
0.06,0.18,0.34149157443254
0.06,0.2,0.3394398550934723
0.06,0.22,0.33766621443982947
0.06,0.24,0.33619815945568543
0.06,0.26,0.3349347953229498
0.06,0.28,0.33392392156926953
0.06,0.3,0.33305479502220015
0.06,0.32,0.33239409085237953
0.06,0.34,0.3318223798085153
0.06,0.36,0.3314232908216644
0.06,0.38,0.33106992811401814
0.06,0.4,0.33086071406333883
0.08,0.0,0.3733995033379164
0.08,0.02,0.3671667202052088
0.08,0.04,0.3616358993136646
0.08,0.06,0.356746114587864
0.08,0.08,0.35246281870350094
0.08,0.1,0.3487157357630574
0.08,0.12,0.34548494376401595
0.08,0.14,0.34268905030963737
0.08,0.16,0.34032710528026255
0.08,0.18,0.3383059920497251
0.08,0.2,0.33664580507815434
0.08,0.22,0.33524193557774695
0.08,0.24,0.3341358765982543
0.08,0.26,0.3332123228758942
0.08,0.28,0.33253331000430486
0.08,0.3,0.3319739558315119
0.08,0.32,0.33161518413287705
