Generations no drug,Generations drug,MM number
2,2,21.385946807383505
2,3,22.387132028851873
2,4,23.49806077686954
2,5,24.50743932186692
2,6,25.38262000663799
2,7,26.13341319417998
2,8,26.778232416058433
2,9,27.334970003541887
2,10,27.818842951850666
2,11,28.24225982116557
2,12,28.615213923914812
2,13,28.9457480363352
2,14,29.240363461107385
2,15,29.504349933219075
2,16,29.742043023467254
2,17,29.95702294336493
2,18,30.15226783109215
2,19,30.330272301058706
2,20,30.493139834564833
2,21,30.64265496137692
3,2,21.293284756512023
3,3,21.57361912230101
3,4,22.280950861550814
3,5,23.073112037480076
3,6,23.840685040050943
3,7,24.549117328986675
3,8,25.190753091358502
3,9,25.767818857929928
3,10,26.2859167621126
3,11,26.751450142411105
3,12,27.170614900605795
3,13,27.549037405640796
3,14,27.89168291781193
3,15,28.202874902614553
3,16,28.486355802395863
3,17,28.745358886322567
3,18,28.98267842954004
3,19,29.200732972031904
3,20,29.40162056382177
3,21,29.587166007798388
4,2,21.68662018238867
4,3,21.44063312782937
4,4,21.793562803946088
4,5,22.355706134481395
4,6,22.97763904159939
4,7,23.597186426434543
4,8,24.188229571299573
4,9,24.74065414904066
4,10,25.25173478720465
4,11,25.722188683653577
4,12,26.154287592164707
4,13,26.55092538590076
4,14,26.91515232302796
4,15,27.249944804063087
4,16,27.558097214507193
4,17,27.84217765371686
4,18,28.104516958927437
4,19,28.347215170550815
4,20,28.57215614193431
4,21,28.781025688672848
5,2,22.228744096196717
5,3,21.611251208538103
5,4,21.6803690985693
5,5,22.038496561127904
5,6,22.517246794477746
5,7,23.03818426531272
5,8,23.56295585299055
5,9,24.07254050417367
5,10,24.557767955903802
5,11,25.014682089549538
5,12,25.442146409275104
5,13,25.84055640104314
5,14,26.21112229121816
5,15,26.555460660080733
5,16,26.87535901798695
5,17,27.172639489275195
5,18,27.44908107951449
5,19,27.706376911587117
5,20,27.946112494160822
5,21,28.169756818608228
6,2,22.799981269776296
6,3,21.92297994440499
6,4,21.7712343389884
6,5,21.95830815266746
6,6,22.30886096212519
6,7,22.73544450738264
6,8,23.191867927115034
6,9,23.65289241626837
6,10,24.104558004529004
6,11,24.539251885579223
6,12,24.953053143873326
6,13,25.34423398481296
6,14,25.71238411680369
6,15,26.057881734521168
6,16,26.381567394325124
6,17,26.684539194427806
6,18,26.968023089728195
6,19,27.233290558757517
6,20,27.48160661147207
6,21,27.714197731189078
7,2,23.35430566338712
7,3,22.297740130347762
7,4,21.976220653801416
7,5,22.023265264813855
7,6,22.26348873563043
7,7,22.605042678199993
7,8,22.996915372951378
7,9,23.40962635642415
7,10,23.8257264811716
7,11,24.23480681951368
7,12,24.630729641150086
7,13,25.010020469372357
7,14,25.37089496477992
7,15,25.712653214845748
7,16,26.035290916983715
7,17,26.33924525796299
7,18,26.625226166427343
7,19,26.894103171175423
7,20,27.146829122627814
7,21,27.38438890739723
8,2,23.874412649486835
8,3,22.69556697652616
8,4,22.24460308480072
8,5,22.178455924112953
8,6,22.325637136071915
8,7,22.592846657688348
8,8,22.926317239816875
8,9,23.293755697027727
8,10,23.675212440068652
8,11,24.058168151669307
8,12,24.43474593133734
8,13,24.800056035419864
8,14,25.151171352548
8,15,25.48647410128566
8,16,25.80522588319552
8,17,26.10727892601706
8,18,26.39287863332167
8,19,26.662527000994537
8,20,26.91688708897578
8,21,27.15671615581557
9,2,24.355087962419987
9,3,23.09532577246414
9,4,22.546500292193905
9,5,22.389636238457737
9,6,22.459310649986826
9,7,22.66265375905642
9,8,22.944560064141744
9,9,23.270954838880968
9,10,23.62013204969957
9,11,23.977998278832438
9,12,24.335324554651447
9,13,24.686084809970442
9,14,25.026411575124534
9,15,25.3539149222931
9,16,25.667227671695176
9,17,25.965692997030505
9,18,26.249146404568858
9,19,26.517761429900833
9,20,26.771939184016155
9,21,27.01222904601191
10,2,24.796352092340186
