Generations no drug,Generations drug,MM fraction
2,2,0.31851974819049383
2,3,0.29151728393730847
2,4,0.3878219814333359
2,5,0.38780491265146744
2,6,0.38780478712579197
2,7,0.3878047720192808
2,8,0.38780476805537895
2,9,0.38780476381272067
2,10,0.3878047618788822
2,11,0.3878047585895941
2,12,0.38780476240492134
2,13,0.3878047607023662
2,14,0.38780475832487676
2,15,0.38780475799228076
2,16,0.38780475846231505
2,17,0.3878047577170051
2,18,0.3878047578778135
2,19,0.38780475834143646
2,20,0.38780476040541867
2,21,0.3878047570952966
3,2,0.34135845782114316
3,3,0.31506427635798245
3,4,0.2957249059293051
3,5,0.31937294597704924
3,6,0.3878060864372894
3,7,0.3878048735308136
3,8,0.3878047934522385
3,9,0.3878047742806661
3,10,0.38780476401537195
3,11,0.3878047604997464
3,12,0.38780476273156655
3,13,0.3878047587130332
3,14,0.3878047595326026
3,15,0.38780476056316227
3,16,0.3878047583030971
3,17,0.3878047586780625
3,18,0.38780475788787344
3,19,0.387804758843037
3,20,0.38780475772692957
3,21,0.38780475759021155
4,2,0.3556494253567746
4,3,0.3309491252470476
4,4,0.31195986134362663
4,5,0.29673843402566225
4,6,0.2881815973338425
4,7,0.3878126993323355
4,8,0.38780501998689343
4,9,0.3878047971165402
4,10,0.3878047706456327
4,11,0.3878047657153912
4,12,0.387804760799404
4,13,0.387804759932563
4,14,0.3878047619324375
4,15,0.3878047587283861
4,16,0.3878047583210347
4,17,0.3878047579547963
4,18,0.38780476061818187
4,19,0.3878047577208028
4,20,0.3878047576627524
4,21,0.3878047569658314
5,2,0.36590073652630817
5,3,0.342859015571978
5,4,0.3245843142576075
5,5,0.3095678795463765
5,6,0.29701379773666575
5,7,0.28745733886958424
5,8,0.38698109815823856
5,9,0.38780482748289685
5,10,0.38780481370390435
5,11,0.3878047721254929
5,12,0.38780476425382543
5,13,0.3878047648002988
5,14,0.38780476021684834
5,15,0.3878047612626289
5,16,0.38780475940923587
5,17,0.38780475815963816
5,18,0.3878047581453002
5,19,0.3878047608502873
5,20,0.3878047570299417
5,21,0.3878047594226259
6,2,0.37374586631837303
6,3,0.35227674672273074
6,4,0.3348260085096969
6,5,0.32020872137951034
6,6,0.3077740074069239
6,7,0.2970764001511391
6,8,0.2882449265907393
6,9,0.3769216492770007
6,10,0.38779457990814936
6,11,0.3878047968953264
6,12,0.38780478513455496
6,13,0.3878047627254002
6,14,0.38780476382689677
6,15,0.38780476314120316
6,16,0.38780476151974136
6,17,0.3878047571768818
6,18,0.3878047582959419
6,19,0.38780475807830767
6,20,0.38780475848068957
6,21,0.38780476061423524
7,2,0.3799765456296008
7,3,0.3599474681996345
7,4,0.34333955307323144
7,5,0.32920436994236035
7,6,0.3170180687309002
7,7,0.3064126669167694
7,8,0.2971112308699047
7,9,0.28930113311985317
7,10,0.34337876861547784
7,11,0.38780311760979286
7,12,0.38780402822032833
7,13,0.3878047725259393
7,14,0.387804767266287
7,15,0.3878047674599961
7,16,0.38780475892406313
7,17,0.38780475860004054
7,18,0.38780475804395115
7,19,0.3878047550090222
7,20,0.38780475803192793
7,21,0.3878047534943157
8,2,0.3850505892253645
8,3,0.3663209151708057
8,4,0.35053205043468677
8,5,0.3369112360584069
8,6,0.32503316270713084
8,7,0.3145928631961406
8,8,0.3053543315770617
8,9,0.29712676732929133
8,10,0.2904677060028041
8,11,0.3163792779889586
8,12,0.38775484642904673
8,13,0.3878046303824933
8,14,0.3878047770677695
8,15,0.38780470296174807
8,16,0.3878047579085832
8,17,0.3878047574571245
8,18,0.38780475767892014
8,19,0.38780475778015605
8,20,0.38780474948014076
8,21,0.38780475448112217
9,2,0.3892620715367672
9,3,0.3716983812222376
9,4,0.3566854569561388
9,5,0.34358338169182484
9,6,0.33204357316891037
9,7,0.32181225817030645
9,8,0.31268872155175825
9,9,0.3045106174308837
9,10,0.2971565349104491
9,11,0.2913410931320289
9,12,0.3495191601525745
9,13,0.38779940829115306
9,14,0.38778970255378137
9,15,0.38780456398381924
9,16,0.387804733151373
9,17,0.38780475859794417
9,18,0.38780476011968684
9,19,0.38780469433155884
9,20,0.387804748509205
9,21,0.3878047548178107
10,2,0.3928120811098646
10,3,0.3762936426569726
10,4,0.36200609716116594
10,5,0.34941170654621395
10,6,0.3382221774324109
10,7,0.32822515163569627
10,8,0.31924971951574305
10,9,0.3111546098473125
10,10,0.3038241590383254
10,11,0.29715033127145013
10,12,0.2928886566527449
10,13,0.3257082937064047
10,14,0.38735672343703015
10,15,0.3878023643702428
10,16,0.3878046937387797
10,17,0.3878047604658757
10,18,0.3878031578815103
10,19,0.38780465383126017
10,20,0.3878047430386339
10,21,0.3878047544455448
11,2,0.3958437576514812
11,3,0.38026368061786014
11,4,0.3666495846147194
11,5,0.354543581055811
11,6,0.3437052032521042
11,7,0.3339557692077294
11,8,0.3251491220074132
11,9,0.3171625678145493
11,10,0.3098914031151323
11,11,0.3032472442888455
11,12,0.29723624636325197
11,13,0.2944762305581609
11,14,0.3674392046323597
11,15,0.3877721844997073
11,16,0.3878045479979787
11,17,0.38772013203776934
11,18,0.38780075666521596
11,19,0.3878045617660605
11,20,0.38780473712117947
11,21,0.38780473936503657
12,2,0.39846195714375926
12,3,0.3837265307989622
12,4,0.3707356230717437
12,5,0.3590946644508538
12,6,0.3486014925301509
12,7,0.33910496472194535
12,8,0.3304796172419101
12,9,0.32261846521326193
12,10,0.31542976612857454
12,11,0.3088345044015468
12,12,0.3027712513639395
12,13,0.29716897752916427
12,14,0.3048086787283354
12,15,0.386616820557488
12,16,0.3840318232409313
12,17,0.3875833232676572
12,18,0.38779429391214953
12,19,0.38780434967826427
12,20,0.3878046620912481
12,21,0.3878047393498778
13,2,0.400745243391314
13,3,0.3867726068358571
13,4,0.37435770753633496
13,5,0.36315686701159755
13,6,0.3529988864435063
13,7,0.3437552853803194
13,8,0.3353179537989637
13,9,0.3275934157756193
13,10,0.3205004508162983
13,11,0.31396856087706143
13,12,0.30792511769341047
13,13,0.3023050684958569
13,14,0.29744911855681466
13,15,0.30438693397335825
13,16,0.3729027590716075
13,17,0.3872133771303864
13,18,0.3877771111874462
13,19,0.38780260978509584
13,20,0.3878046180858059
13,21,0.3878047366718883
14,2,0.4027536052239059
14,3,0.38947225990124734
14,4,0.37758982062072477
14,5,0.3668040196880197
14,6,0.3569689074963573
14,7,0.3479747709680542
14,8,0.3397281220720577
14,9,0.3321470309893499
14,10,0.3251594681499568
14,11,0.31870154229855446
14,12,0.3127166862156191
