Generations no drug,Generations drug,MM fraction
2,2,0.30307330579902664
2,3,0.39443575278009785
2,4,0.38780541627218673
2,5,0.3878048216199714
2,6,0.3878047746307459
2,7,0.3878047664262993
2,8,0.3878047683938043
2,9,0.3878047624882894
2,10,0.38780476294556937
2,11,0.3878047591183924
2,12,0.387804759887977
2,13,0.3878047607565742
2,14,0.3878047577934147
2,15,0.3878047592485411
2,16,0.38780475959120664
2,17,0.38780475812682197
2,18,0.38780475779248497
2,19,0.38780475908582074
2,20,0.3878047608210112
2,21,0.38780475789456736
3,2,0.328371218649251
3,3,0.30070104272553205
3,4,0.28516070909309027
3,5,0.3878115445279604
3,6,0.3878049529550448
3,7,0.38780480474489476
3,8,0.3878047815081597
3,9,0.3878047667803242
3,10,0.38780476252988183
3,11,0.38780476232178845
3,12,0.3878047629479981
3,13,0.3878047588435715
3,14,0.3878047583528396
3,15,0.3878047586018865
3,16,0.38780475736401043
3,17,0.3878047574989137
3,18,0.3878047576615528
3,19,0.3878047583427207
3,20,0.38780475771300177
3,21,0.38780475800869785
4,2,0.3444735209544585
4,3,0.31827583876180715
4,4,0.29860930591979584
4,5,0.2842394032217259
4,6,0.387846307241621
4,7,0.387805262855648
4,8,0.38780483267997506
4,9,0.3878047770267244
4,10,0.3878047659704405
4,11,0.38780476381848056
4,12,0.3878047612613717
4,13,0.3878047621115207
4,14,0.38780476205459047
4,15,0.3878047579006065
4,16,0.387804758702212
4,17,0.3878047585803265
4,18,0.3878047590992386
4,19,0.38780475752895305
4,20,0.3878047582002671
4,21,0.3878047573700388
5,2,0.3561115355087688
5,3,0.33157325247847536
5,4,0.31251772125722843
5,5,0.2971030849507162
5,6,0.28518851795391614
5,7,0.3878441519692097
5,8,0.38780540676826214
5,9,0.3878048165050754
5,10,0.3878047844346347
5,11,0.38780476418726934
5,12,0.38780476466414976
5,13,0.3878047648367481
5,14,0.3878047597472964
5,15,0.3878047595273256
5,16,0.3878047582823665
5,17,0.38780475799235725
5,18,0.3878047579762186
5,19,0.3878047579241987
5,20,0.38780475784700313
5,21,0.38780475875452564
6,2,0.3650496831901572
6,3,0.3421248099918893
