Strength WMMd IH,Strength MMd GF IH,MM number
0.0,0.0,34.636471988717304
0.0,0.02,33.188475351248826
0.0,0.04,31.90543416522296
0.0,0.06,30.766300542678543
0.0,0.08,29.753007585048863
0.0,0.1,28.849987607245964
0.0,0.12,28.04377780938364
0.0,0.14,27.322696004262752
0.0,0.16,26.676572892097244
0.0,0.18,26.09652998183797
0.0,0.2,25.57479467931219
0.0,0.22,25.104545680320605
0.0,0.24,24.679783185077067
0.0,0.26,24.295219486499693
0.0,0.28,23.946186477113848
0.0,0.3,23.628556968299183
0.0,0.32,23.338677625834485
0.0,0.34,23.073311532921537
0.0,0.36,22.829588729973388
0.0,0.38,22.604963548243557
0.0,0.4,22.39717755893646
0.02,0.0,33.17423477262843
0.02,0.02,31.86566911310691
0.02,0.04,30.708899733657496
0.02,0.06,29.68456751096385
0.02,0.08,28.776036834917097
0.02,0.1,27.968957246077405
0.02,0.12,27.250904503112725
0.02,0.14,26.611085221873815
0.02,0.16,26.040092852880328
0.02,0.18,25.529705292588392
0.02,0.2,25.07271611690674
0.02,0.22,24.662793624832705
0.02,0.24,24.294362418085857
0.02,0.26,23.96250354052568
0.02,0.28,23.662870010288962
0.02,0.3,23.391615059231416
0.02,0.32,23.145330840336946
0.02,0.34,22.92099599198848
0.02,0.36,22.71593044968609
0.02,0.38,22.527756406614238
0.02,0.4,22.354364409223912
0.04,0.0,31.9347272020481
0.04,0.02,30.751498685950537
0.04,0.04,29.70852238499192
0.04,0.06,28.7879192109908
0.04,0.08,27.974308101984064
0.04,0.1,27.254405661751512
0.04,0.12,26.616697945136583
0.04,0.14,26.051170342492732
0.04,0.16,25.54908426732836
0.04,0.18,25.102791822183207
0.04,0.2,24.705581443129905
0.04,0.22,24.351548688649874
0.04,0.24,24.035487802452558
0.04,0.26,23.75280029669691
0.04,0.28,23.499417587690164
0.04,0.3,23.271735263299952
0.04,0.32,23.06655699617478
0.04,0.34,22.881046483960798
0.04,0.36,22.712686079421587
0.04,0.38,22.559241008054038
0.04,0.4,22.418728275284288
0.06,0.0,30.884682701223575
0.06,0.02,29.81491643814736
0.06,0.04,28.875226609492376
0.06,0.06,28.049038929339314
0.06,0.08,27.322078716088395
0.06,0.1,26.68200354564136
0.06,0.12,26.118102111279928
0.06,0.14,25.621046105683774
0.06,0.16,25.182685163719803
0.06,0.18,24.79587663344837
0.06,0.2,24.454343634535803
0.06,0.22,24.15255638872187
0.06,0.24,23.885632579462676
0.06,0.26,23.6492533392575
0.06,0.28,23.439592220606094
0.06,0.3,23.25325482865795
0.06,0.32,23.08722734195849
0.06,0.34,22.93883240253532
0.06,0.36,22.805691150787293
0.06,0.38,22.685690387987158
0.06,0.4,22.576954026642973
0.08,0.0,29.937609776036517
0.08,0.02,29.030608609637863
0.08,0.04,28.131803181909373
0.08,0.06,27.445643993676857
0.08,0.08,26.749223881549447
0.08,0.1,26.23189808069056
0.08,0.12,25.736300826668163
0.08,0.14,25.302833946098097
0.08,0.16,24.880664043581806
0.08,0.18,24.592706772806167
0.08,0.2,24.262324609426578
0.08,0.22,24.010677151977
0.08,0.24,23.830496764354642
0.08,0.26,23.59943101621843
0.08,0.28,23.470154383710387
0.08,0.3,23.323408060245033
0.08,0.32,23.158284763900312
0.08,0.34,23.04628585795467
0.08,0.36,22.98342358148574
