Strength WMMd IH,Strength MMd GF IH,MM fraction
0.0,0.0,0.43389529711815317
0.0,0.1,0.42761792579888913
0.0,0.2,0.42108294222845144
0.0,0.3,0.4142754300264373
0.0,0.4,0.4071795967109654
0.0,0.5,0.39977878120450594
0.0,0.6,0.3920555461187004
0.0,0.7,0.38399185018047177
0.0,0.8,0.3755692737124501
0.0,0.9,0.3667695479466786
0.0,1.0,0.3575752837433477
0.0,1.1,0.3479711406098298
0.0,1.2,0.33794573368512126
0.0,1.3,0.3274943434789372
0.0,1.4,0.31662301997136943
0.0,1.5,0.3053542284764168
0.0,1.6,0.2937409538314869
0.0,1.7,0.29852321397185844
0.0,1.8,0.38780398099216074
0.0,1.9,0.38780476530300834
0.0,2.0,0.38780475891436816
0.1,0.0,0.4208540420599804
0.1,0.1,0.41431590052840106
0.1,0.2,0.40751117995136493
0.1,0.3,0.40042486828788915
0.1,0.4,0.3930412184276246
0.1,0.5,0.3853438077316166
0.1,0.6,0.3773157348140555
0.1,0.7,0.3689399153494828
0.1,0.8,0.360199580145561
0.1,0.9,0.3510790445692856
0.1,1.0,0.34156498093178844
0.1,1.1,0.331648244612338
0.1,1.2,0.3213267609108572
0.1,1.3,0.3106095793410193
0.1,1.4,0.2995224999303317
0.1,1.5,0.2884350945475727
0.1,1.6,0.3874120577553192
0.1,1.7,0.3878047720526949
0.1,1.8,0.38780476052345103
0.1,1.9,0.3878047610799916
0.1,2.0,0.3878047586171903
0.2,0.0,0.4078187790638628
0.2,0.1,0.4010221495336679
0.2,0.2,0.3939505766686619
0.2,0.3,0.3865891563851258
0.2,0.4,0.3789224150280702
0.2,0.5,0.3709345357902334
0.2,0.6,0.3626096431765633
0.2,0.7,0.35393236216746604
0.2,0.8,0.3448885888959179
0.2,0.9,0.33546680625595027
0.2,1.0,0.3256599370783047
0.2,1.1,0.3154683151223346
0.2,1.2,0.3049037404009031
0.2,1.3,0.29400307878740695
0.2,1.4,0.2950381384295897
0.2,1.5,0.38780416324881756
0.2,1.6,0.3878047674761102
0.2,1.7,0.38780475958378824
0.2,1.8,0.3878047576145657
0.2,1.9,0.3878047583031197
0.2,2.0,0.3878047571646507
0.3,0.0,0.3947919376299223
0.3,0.1,0.38773961686760816
0.3,0.2,0.3804047618552677
0.3,0.3,0.37277279405259667
0.3,0.4,0.36482889285833947
0.3,0.5,0.3565583249207114
0.3,0.6,0.3479469621501312
0.3,0.7,0.3389821945760103
0.3,0.8,0.3296541079725004
0.3,0.9,0.31995756675759357
0.3,1.0,0.3098950334670084
0.3,1.1,0.2994807415046822
0.3,1.2,0.2890076681087359
0.3,1.3,0.38720678643292145
0.3,1.4,0.387804786108201
0.3,1.5,0.3878047596292982
0.3,1.6,0.3878047591825599
0.3,1.7,0.38780475850587715
0.3,1.8,0.38780475755022026
0.3,1.9,0.38780475806611764
0.3,2.0,0.387804758074231
0.4,0.0,0.38177616173526197
0.4,0.1,0.3744715743348103
0.4,0.2,0.36687783011589625
0.4,0.3,0.3589810404083922
0.4,0.4,0.3507674988243933
0.4,0.5,0.3422242738113179
0.4,0.6,0.3333400477958054
0.4,0.7,0.32410645178446074
0.4,0.8,0.31452008124137126
0.4,0.9,0.30458560169156645
0.4,1.0,0.2943279073616424
0.4,1.1,0.2923085480051937
0.4,1.2,0.38780424609898856
0.4,1.3,0.3878047692172869
0.4,1.4,0.38780475967328587
0.4,1.5,0.38780475870855335
0.4,1.6,0.38780475743967274
0.4,1.7,0.387804756891871
0.4,1.8,0.38780475733687275
0.4,1.9,0.3878047573739648
0.4,2.0,0.3878047577246093
0.5,0.0,0.3687743977333444
0.5,0.1,0.36122175650682886
0.5,0.2,0.3533746163034054
0.5,0.3,0.345220233849754
0.5,0.4,0.336746760150584
0.5,0.5,0.32794406384545605
0.5,0.6,0.3188051795918564
0.5,0.7,0.3093283118845896
0.5,0.8,0.2995198706288082
0.5,0.9,0.289597516447775
0.5,1.0,0.38672726365777343
0.5,1.1,0.3878047922246659
0.5,1.2,0.38780476211342474
0.5,1.3,0.38780475909750883
0.5,1.4,0.38780475782799634
0.5,1.5,0.3878047577431354
0.5,1.6,0.38780475718400054
0.5,1.7,0.3878047575919157
0.5,1.8,0.3878047569261448
0.5,1.9,0.38780475765676803
0.5,2.0,0.38780475739646725
0.6,0.0,0.35579000737977773
0.6,0.1,0.3479945509820524
0.6,0.2,0.339900954203477
0.6,0.3,0.33149832728454487
0.6,0.4,0.3227776762937834
0.6,0.5,0.31373327916397303
0.6,0.6,0.3043647417688861
0.6,0.7,0.29468619327640716
0.6,0.8,0.29049489215380864
0.6,0.9,0.3878043136790272
0.6,1.0,0.3878047747765828
0.6,1.1,0.38780475989952884
0.6,1.2,0.387804759479237
0.6,1.3,0.3878047576775274
0.6,1.4,0.3878047567718126
0.6,1.5,0.3878047575621548
0.6,1.6,0.38780475707728174
0.6,1.7,0.38780475732070163
0.6,1.8,0.3878047573613782
0.6,1.9,0.38780475726866476
0.6,2.0,0.38780475709927376
0.7,0.0,0.34282696446272665
0.7,0.1,0.33479533363106706
0.7,0.2,0.32646423970945926
0.7,0.3,0.3178257040563111
0.7,0.4,0.3088752311075064
0.7,0.5,0.29961395451062356
0.7,0.6,0.2902014362656652
0.7,0.7,0.3856419425527161
0.7,0.8,0.3878047984496754
0.7,0.9,0.3878047623317598
0.7,1.0,0.38780475942074344
0.7,1.1,0.38780475759965294
0.7,1.2,0.38780475749701476
0.7,1.3,0.3878047576198277
0.7,1.4,0.38780475756940713
0.7,1.5,0.38780475752325205
0.7,1.6,0.38780475743946863
0.7,1.7,0.3878047567841413
0.7,1.8,0.3878047568708264
0.7,1.9,0.3878047572110408
0.7,2.0,0.38780475724651214
0.8,0.0,0.3298901413591231
0.8,0.1,0.3216308967931295
0.8,0.2,0.31307424721489147
0.8,0.3,0.3042168035467293
0.8,0.4,0.29506415782781165
0.8,0.5,0.2894402234878094
0.8,0.6,0.38780424182135226
0.8,0.7,0.3878047764738407
0.8,0.8,0.38780475992215985
0.8,0.9,0.38780475859604446
0.8,1.0,0.38780475895458655
0.8,1.1,0.3878047570334316
0.8,1.2,0.3878047575712687
0.8,1.3,0.3878047572027503
0.8,1.4,0.387804757305075
0.8,1.5,0.3878047567868457
0.8,1.6,0.38780475720711927
0.8,1.7,0.38780475688677796
0.8,1.8,0.38780475683716353
0.8,1.9,0.387804756620883
0.8,2.0,0.3878047575033486
0.9,0.0,0.31698579261417603
0.9,0.1,0.3085105263689535
0.9,0.2,0.2997452108059884
0.9,0.3,0.290791773150902
0.9,0.4,0.38315388025687713
0.9,0.5,0.3878048055940189
0.9,0.6,0.3878047653057526
0.9,0.7,0.38780475909476764
0.9,0.8,0.3878047574649508
0.9,0.9,0.3878047580284807
0.9,1.0,0.3878047566419867
0.9,1.1,0.3878047571277185
0.9,1.2,0.38780475668924685
0.9,1.3,0.38780475723211344
0.9,1.4,0.3878047570731336
0.9,1.5,0.38780475666549996
0.9,1.6,0.3878047574961331
0.9,1.7,0.38780475755120974
0.9,1.8,0.3878047571573693
0.9,1.9,0.38780475737834463
0.9,2.0,0.38780475686837823
1.0,0.0,0.30412270649322437
1.0,0.1,0.29544991447647717
1.0,0.2,0.28894779135179904
1.0,0.3,0.3878040227607108
1.0,0.4,0.3878047770691164
1.0,0.5,0.38780476066357406
1.0,0.6,0.38780475894584
1.0,0.7,0.3878047576922975
1.0,0.8,0.38780475715240126
1.0,0.9,0.38780475730774344
1.0,1.0,0.38780475719340163
1.0,1.1,0.387804757029105
1.0,1.2,0.38780475765622385
1.0,1.3,0.3878047567619458
1.0,1.4,0.3878047569618739
1.0,1.5,0.3878047568408062
1.0,1.6,0.38780475719516655
1.0,1.7,0.38780475784678436
1.0,1.8,0.3878047579754268
1.0,1.9,0.38780475670180614
1.0,2.0,0.3878047570237052
1.1,0.0,0.2913755518672102
1.1,0.1,0.3773559926208462
1.1,0.2,0.38780481921097765
1.1,0.3,0.38780476600232344
1.1,0.4,0.38780475916012
1.1,0.5,0.38780475892382893
1.1,0.6,0.38780475752357274
1.1,0.7,0.38780475704050993
1.1,0.8,0.38780475727350683
1.1,0.9,0.3878047570800876
1.1,1.0,0.3878047574319814
1.1,1.1,0.3878047569694735
1.1,1.2,0.38780475799980474
1.1,1.3,0.3878047571251159
1.1,1.4,0.38780475694095373
1.1,1.5,0.38780475740954096
1.1,1.6,0.387804756959479
1.1,1.7,0.38780475685419347
1.1,1.8,0.3878047571589982
1.1,1.9,0.3878047575803065
1.1,2.0,0.38780475713867
1.2,0.0,0.3878036956577303
1.2,0.1,0.3878047825095107
1.2,0.2,0.3878047614311394
1.2,0.3,0.38780475883264276
1.2,0.4,0.3878047579510546
1.2,0.5,0.38780475734774345
1.2,0.6,0.38780475720655416
1.2,0.7,0.3878047575024063
1.2,0.8,0.38780475730792396
1.2,0.9,0.38780475691986127
1.2,1.0,0.38780475738160924
1.2,1.1,0.3878047571523908
1.2,1.2,0.387804756893887
1.2,1.3,0.38780475714746543
1.2,1.4,0.38780475711448104
1.2,1.5,0.38780475737612763
1.2,1.6,0.3878047567338676
1.2,1.7,0.3878047573085499
1.2,1.8,0.3878047574856763
1.2,1.9,0.387804758372658
1.2,2.0,0.38780475736011133
1.3,0.0,0.38780477120227574
1.3,0.1,0.38780476099446853
1.3,0.2,0.38780475938727044
1.3,0.3,0.3878047577527419
1.3,0.4,0.38780475702818024
1.3,0.5,0.38780475707862716
1.3,0.6,0.3878047565650062
1.3,0.7,0.38780475706866735
1.3,0.8,0.3878047572297133
1.3,0.9,0.3878047572644503
1.3,1.0,0.3878047580673756
1.3,1.1,0.38780475793937685
1.3,1.2,0.38780475740860426
1.3,1.3,0.3878047575020113
1.3,1.4,0.3878047573092531
1.3,1.5,0.3878047574247586
1.3,1.6,0.38780475731440434
1.3,1.7,0.3878047573978381
1.3,1.8,0.3878047569391203
1.3,1.9,0.3878047573158441
1.3,2.0,0.3878047577595001
1.4,0.0,0.3878047591450935
1.4,0.1,0.3878047580317693
1.4,0.2,0.38780475847442963
1.4,0.3,0.3878047573993346
1.4,0.4,0.3878047577010584
1.4,0.5,0.38780475733339864
1.4,0.6,0.387804757277181
1.4,0.7,0.3878047570598419
1.4,0.8,0.38780475623867783
1.4,0.9,0.3878047570144135
1.4,1.0,0.38780475722092556
1.4,1.1,0.38780475782840573
1.4,1.2,0.3878047569035463
1.4,1.3,0.3878047571669642
1.4,1.4,0.38780475713108836
1.4,1.5,0.3878047578142292
1.4,1.6,0.38780475666007075
1.4,1.7,0.38780475721476604
1.4,1.8,0.3878047596850198
1.4,1.9,0.38780475737889153
1.4,2.0,0.38780474893850386
1.5,0.0,0.38780475934533987
1.5,0.1,0.3878047574849601
1.5,0.2,0.3878047573732798
1.5,0.3,0.3878047569976816
1.5,0.4,0.38780475697068495
1.5,0.5,0.387804757804862
1.5,0.6,0.3878047570896537
1.5,0.7,0.3878047571040226
1.5,0.8,0.38780475720695284
1.5,0.9,0.3878047574118334
1.5,1.0,0.3878047565612851
1.5,1.1,0.38780475726073294
1.5,1.2,0.3878047566548676
1.5,1.3,0.38780475676249904
1.5,1.4,0.3878047573350752
1.5,1.5,0.3878047570301293
1.5,1.6,0.3878047576279735
1.5,1.7,0.3878047518754486
1.5,1.8,0.38780476224046245
1.5,1.9,0.3878047597510692
1.5,2.0,0.38780475791929003
1.6,0.0,0.3878047574016923
1.6,0.1,0.387804757539698
1.6,0.2,0.3878047566639214
1.6,0.3,0.38780475658419994
1.6,0.4,0.38780475779387485
1.6,0.5,0.387804757679964
1.6,0.6,0.38780475700015504
1.6,0.7,0.3878047575742262
1.6,0.8,0.3878047566667304
1.6,0.9,0.38780475723172764
1.6,1.0,0.38780475572960316
1.6,1.1,0.3878047580811363
1.6,1.2,0.38780475753114607
1.6,1.3,0.3878047570142237
1.6,1.4,0.38780475769455736
1.6,1.5,0.3878047548769975
1.6,1.6,0.38780475715858637
1.6,1.7,0.38780475542981724
1.6,1.8,0.3878047559503172
1.6,1.9,0.3878047571164114
1.6,2.0,0.3878047554460145
1.7,0.0,0.3878047576383021
1.7,0.1,0.38780475592712593
1.7,0.2,0.38780475723033886
1.7,0.3,0.38780475696488903
1.7,0.4,0.3878047571956824
1.7,0.5,0.38780475695980565
1.7,0.6,0.38780475764457945
1.7,0.7,0.3878047567112412
1.7,0.8,0.3878047573105184
1.7,0.9,0.3878047567644512
1.7,1.0,0.3878047571644747
1.7,1.1,0.38780475751861504
1.7,1.2,0.3878047568143186
1.7,1.3,0.3878047575020828
1.7,1.4,0.3878047565918429
1.7,1.5,0.3878047594309235
1.7,1.6,0.38780475647095347
1.7,1.7,0.38780475615399623
1.7,1.8,0.3878047592073326
1.7,1.9,0.3878047567893913
1.7,2.0,0.3878047578110225
1.8,0.0,0.3878047572040376
1.8,0.1,0.3878047580540911
1.8,0.2,0.38780475696007455
1.8,0.3,0.38780475707888884
1.8,0.4,0.3878047572316744
1.8,0.5,0.38780475757257554
1.8,0.6,0.38780475626770383
1.8,0.7,0.38780475729665986
1.8,0.8,0.3878047561061747
1.8,0.9,0.3878047574113567
1.8,1.0,0.38780475594666364
1.8,1.1,0.387804755566951
1.8,1.2,0.38780475792528746
1.8,1.3,0.3878047560867538
1.8,1.4,0.38780475625255273
1.8,1.5,0.3878047597672979
1.8,1.6,0.38780475756277744
1.8,1.7,0.38780475859543695
1.8,1.8,0.3878047566464252
1.8,1.9,0.3878047577300471
1.8,2.0,0.3878047567623086
1.9,0.0,0.38780475694623373
1.9,0.1,0.38780475796290437
1.9,0.2,0.3878047570807454
1.9,0.3,0.3878047570051766
1.9,0.4,0.38780475690908006
1.9,0.5,0.3878047576445446
1.9,0.6,0.38780476347709364
1.9,0.7,0.3878047574166072
1.9,0.8,0.38780475751644394
1.9,0.9,0.38780475610687215
1.9,1.0,0.3878047554511346
1.9,1.1,0.3878047563485779
1.9,1.2,0.38780475748648685
1.9,1.3,0.3878047509450371
1.9,1.4,0.3878047570823005
1.9,1.5,0.38780475650132484
1.9,1.6,0.3878047571855871
1.9,1.7,0.38780475912848644
1.9,1.8,0.38780475814929777
1.9,1.9,0.38780475219708693
1.9,2.0,0.3878047517380537
2.0,0.0,0.3878047570141227
2.0,0.1,0.387804757392628
2.0,0.2,0.38780475694050687
2.0,0.3,0.38780475764176864
2.0,0.4,0.38780475702671924
2.0,0.5,0.3878047586615918
2.0,0.6,0.38780475531977476
2.0,0.7,0.3878047589073105
2.0,0.8,0.3878047574491237
2.0,0.9,0.387804756061354
2.0,1.0,0.38780475747090104
2.0,1.1,0.3878047592796847
2.0,1.2,0.387804756388241
