Generations no drug,Generations drug,MM fraction
2,2,0.31754297726315545
2,3,0.29464353871868726
2,4,0.3879140526470355
2,5,0.38780526887384015
2,6,0.387804848962532
2,7,0.3878047978750056
2,8,0.38780478280851954
2,9,0.3878047734140581
2,10,0.38780476661748975
2,11,0.38780476386322604
2,12,0.3878047615637584
2,13,0.3878047622983654
2,14,0.3878047598191571
2,15,0.38780476098422506
2,16,0.38780476135945574
2,17,0.38780475925637115
2,18,0.387804758854359
2,19,0.3878047589044736
2,20,0.38780476025245675
2,21,0.38780475827250627
3,2,0.3397385199033788
3,3,0.31664286108974465
3,4,0.300403416441181
3,5,0.28893707464992663
3,6,0.38783945883847026
3,7,0.3878057764711377
3,8,0.38780491040476195
3,9,0.3878048045200724
3,10,0.38780477642531097
3,11,0.3878047685700832
3,12,0.3878047670622228
3,13,0.38780476143682696
3,14,0.38780476100356626
3,15,0.3878047631051141
3,16,0.3878047597364781
3,17,0.3878047613943375
3,18,0.38780476075441345
3,19,0.3878047602449774
3,20,0.3878047577887643
3,21,0.3878047582597976
4,2,0.35404511818190937
4,3,0.3320787971416181
4,4,0.3158731841845027
4,5,0.3031779978312861
4,6,0.29316905524943115
4,7,0.30316777980997034
4,8,0.38781453648908454
4,9,0.38780520372255073
4,10,0.38780484784002367
4,11,0.3878048022705468
4,12,0.3878047765687873
4,13,0.38780476675926884
4,14,0.3878047666516542
4,15,0.38780476202170955
4,16,0.38780476377843076
4,17,0.3878047637632486
4,18,0.3878047638212268
4,19,0.3878047581793745
4,20,0.38780475893418725
4,21,0.38780475766947126
5,2,0.36443662086632006
5,3,0.34380751861441783
5,4,0.3280587938598855
5,5,0.3153932125613014
5,6,0.30493597186061805
5,7,0.2961754789071303
5,8,0.28902457417619887
5,9,0.33589082701166906
5,10,0.3878066789141599
5,11,0.38780496149769106
5,12,0.3878048315931496
5,13,0.3878048042803608
5,14,0.38780476606011516
5,15,0.3878047682380724
5,16,0.3878047661405962
5,17,0.38780476768083516
5,18,0.3878047592556069
5,19,0.38780476015180954
5,20,0.3878047578296266
5,21,0.3878047594681495
6,2,0.37242842452874825
6,3,0.353124222490356
6,4,0.3379866441484038
6,5,0.32555647225475276
6,6,0.3151121921330749
6,7,0.30619920919993304
6,8,0.2985046384999319
6,9,0.29186489525594184
6,10,0.2876933690632654
6,11,0.38556568819060233
6,12,0.38780583077874287
6,13,0.387804810422349
6,14,0.38780479916937605
6,15,0.3878047735958581
6,16,0.3878047752875204
6,17,0.387804760280874
6,18,0.3878047625760505
6,19,0.387804759779449
6,20,0.387804760026107
6,21,0.3878047597780751
7,2,0.37878779569350884
7,3,0.3607225658760303
7,4,0.3462469779635429
7,5,0.334154180986114
7,6,0.3238473513358195
7,7,0.31494456220499234
7,8,0.3071751236733957
7,9,0.3003360777699436
7,10,0.29426940975105326
7,11,0.29018035284991617
7,12,0.31664296819743426
7,13,0.3877636953331195
7,14,0.3878048525610824
7,15,0.38780481969727243
7,16,0.38780474945958193
7,17,0.38780476820842735
7,18,0.3878047580791966
7,19,0.3878047617505806
7,20,0.3878047602003158
7,21,0.3878047395207788
8,2,0.38397055925061574
8,3,0.36703714987244124
8,4,0.3532247256010383
8,5,0.3415179229994584
8,6,0.3314179728379763
8,7,0.32260240366324056
8,8,0.31483878888041666
8,9,0.3079501661627589
8,10,0.30180287540870254
8,11,0.2962763726757415
8,12,0.29154333117564135
8,13,0.3082734434879121
8,14,0.3877576402835066
8,15,0.38766379400336776
8,16,0.38780470938254724
8,17,0.3878047226735003
8,18,0.38780476389603835
8,19,0.3878047644683371
8,20,0.387804617056599
8,21,0.38780474665199344
9,2,0.3882736236330548
9,3,0.372364234228519
9,4,0.3591921079649451
9,5,0.3478897121056162
9,6,0.33803579005961365
9,7,0.32935642400910226
9,8,0.32165161904162415
9,9,0.31476730034293765
9,10,0.30858054145657704
9,11,0.3029957142143108
9,12,0.29790707643292963
9,13,0.29349458611034845
9,14,0.29097193614871397
9,15,0.36752776605448795
9,16,0.38773452961300164
9,17,0.3878046987240026
9,18,0.3878047764953198
9,19,0.38779647120678357
9,20,0.38780452890748185
9,21,0.3878047493027576
10,2,0.3919013454212732
10,3,0.37691548318053436
10,4,0.36434981648888265
10,5,0.35345286908428325
10,6,0.34386520273312926
10,7,0.33535259717604005
10,8,0.32774231138980625
10,9,0.32089943619376343
10,10,0.31471553821374537
10,11,0.3091005552067366
10,12,0.30398483082011646
10,13,0.29929343099559735
10,14,0.2950645176172952
10,15,0.2951060202790975
10,16,0.37845820262574714
10,17,0.3878027230694958
10,18,0.386952250425737
10,19,0.38777314832443166
10,20,0.38780413715182793
10,21,0.3878047505314513
11,2,0.39499961671380485
11,3,0.38084668934659005
11,4,0.36884950620800705
11,5,0.35834914998497613
11,6,0.3490359608751059
11,7,0.34070832558673286
11,8,0.333216376352132
11,9,0.3264417940406081
11,10,0.32028818179785884
11,11,0.31467590080171165
11,12,0.3095370127027554
11,13,0.3048162802382913
11,14,0.30039584271734965
11,15,0.2963220284125573
11,16,0.29940056474048476
11,17,0.3210614589534096
11,18,0.38302422336403835
11,19,0.3876712838520159
11,20,0.38780245816005027
11,21,0.3878043871932093
12,2,0.3976754497083651
12,3,0.3842750532011088
12,4,0.37280782562647774
12,5,0.36268974937268905
12,6,0.3536516413276332
12,7,0.3455188265419709
12,8,0.33816069491770473
12,9,0.33147313907136233
12,10,0.3253705070519009
12,11,0.31978103659484763
12,12,0.31464415024052084
12,13,0.30990200613683916
12,14,0.3055084164167565
12,15,0.3014034913375855
12,16,0.2977723694497402
12,17,0.2965216063123401
12,18,0.35419350520577925
12,19,0.3872017862398111
12,20,0.38776762792737574
12,21,0.38780412831199
13,2,0.40000907165149957
13,3,0.38729033478796177
13,4,0.3763158186895388
13,5,0.3665629322106241
13,6,0.35779572001641585
13,7,0.3498619028253401
13,8,0.3426471390337581
13,9,0.33605953783802217
13,10,0.3300227721542923
13,11,0.32447235620321235
13,12,0.3193527499019313
13,13,0.31461662515826183
13,14,0.3102213769325381
13,15,0.30613232243801963
13,16,0.3023297979909922
13,17,0.2990566471405546
13,18,0.3090953763911757
13,19,0.38172070928859547
13,20,0.3876856562218896
13,21,0.3878034002950476
14,2,0.40206175890803786
14,3,0.38996235201381085
14,4,0.3794454713226465
14,5,0.37003952070686746
14,6,0.3615360717487238
14,7,0.3538015844981938
14,8,0.3467355195810982
14,9,0.3402565002054035
14,10,0.33429635636339095
14,11,0.3287969468462783
14,12,0.3237082912828701
14,13,0.3189870232625735
14,14,0.31459491726654937
14,15,0.3104989590987353
14,16,0.3066711812073815
14,17,0.3031196412933373
14,18,0.2998905888664836
14,19,0.3572718612547475
14,20,0.38736869191997886
14,21,0.3878010248590564
15,2,0.4038810800140653
15,3,0.39234616737964995
15,4,0.38225437368009557
15,5,0.37317691186546254
15,6,0.36492835529265666
15,7,0.3573909438058716
15,8,0.35047590018105995
15,9,0.3441109247988284
15,10,0.33823497399269975
15,11,0.3327956128789318
15,12,0.32774737964960454
15,13,0.323050576185305
15,14,0.3186705071778051
15,15,0.3145765295914922
15,16,0.3107417508485294
15,17,0.3067804673988449
15,18,0.30273287102124924
15,19,0.31850757313728595
15,20,0.38603889051609874
15,21,0.3877922977690507
16,2,0.40550450116986203
16,3,0.3944857544863806
16,4,0.3847891020015909
16,5,0.3760220621706468
16,6,0.3680185849786916
16,7,0.3606742805750898
16,8,0.35391044080660833
16,9,0.34766262693100375
16,10,0.3418760469366538
16,11,0.33650328155725534
16,12,0.33150292485653926
16,13,0.32683865820779706
16,14,0.3224784929158062
16,15,0.3183941738049243
16,16,0.31449359632557616
16,17,0.3107709571824124
16,18,0.30695454081874685
16,19,0.3033557797860354
16,20,0.37918025372558123
16,21,0.33738733322433834
17,2,0.40696191638550006
17,3,0.39641663133758426
17,4,0.3870877020276369
17,5,0.378613724481278
17,6,0.37084509632557383
17,7,0.3636888228891711
17,8,0.35707485562485497
17,9,0.35094558724948066
17,10,0.3452517120271063
17,11,0.3399502613963254
17,12,0.3350034726416485
17,13,0.33037801184558957
17,14,0.32604437311458073
17,15,0.32196268765846114
17,16,0.31811718405648876
17,17,0.3144547990528494
17,18,0.310839518685893
17,19,0.30656477700216295
17,20,0.30751838054698605
17,21,0.3316319785658436
18,2,0.4082774583639357
18,3,0.39816778514033746
18,4,0.38918153856859555
18,5,0.3809841439754727
18,6,0.37344006003302993
18,7,0.3664660594008732
18,8,0.3599995737875591
18,9,0.3539889522126078
18,10,0.348389718954007
18,11,0.34316286150670056
18,12,0.3382738763990961
18,13,0.33369212990114355
18,14,0.32938732612858657
18,15,0.32533734811475207
18,16,0.32151539947577845
18,17,0.3178893106084916
18,18,0.314384488513845
18,19,0.31153699632733545
18,20,0.31040099622394424
18,21,0.3259284243447227
19,2,0.4094708160776677
19,3,0.3997630982855014
19,4,0.39109668863145525
19,5,0.3831603556958407
19,6,0.3758306591779484
19,7,0.3690327887083563
19,8,0.3627106653284176
19,9,0.3568178493649046
19,10,0.3513141285362234
19,11,0.3461640118488643
19,12,0.3413359220736362
19,13,0.33680096305080587
19,14,0.3325344870454674
19,15,0.3285129233952053
19,16,0.3247142291603033
19,17,0.32111408339620884
19,18,0.31772427301034456
19,19,0.3146086048643856
19,20,0.31284239402713776
19,21,0.31967935808294146
20,2,0.4105582084876478
20,3,0.40122241859365043
20,4,0.39285500338603746
20,5,0.3851651875332437
20,6,0.3780400100983069
20,7,0.3714119508457848
20,8,0.36523058397073405
20,9,0.3594540446151836
20,10,0.3540458936191853
20,11,0.34897378153949127
20,12,0.344208590231451
20,13,0.3397244919480478
20,14,0.33549791903509757
20,15,0.33150754030543544
20,16,0.32773353618410656
20,17,0.32415887313757874
20,18,0.3207704088586471
20,19,0.31759838559722214
20,20,0.3152285637479695
20,21,0.314382610486788
21,2,0.41155311414016166
21,3,0.4025623730169116
21,4,0.39447492606273893
21,5,0.3870180423997388
21,6,0.3800878891334296
21,7,0.3736232909385973
21,8,0.3675787660266187
21,9,0.361916478744822
21,10,0.3566033382629098
21,11,0.35160976017268636
21,12,0.3469092055004076
21,13,0.3424776473755422
21,14,0.3382933701905992
21,15,0.334336669502681
21,16,0.33058920327573116
21,17,0.32703515987456433
21,18,0.32366056503593527
21,19,0.32047140234693716
21,20,0.31774600039024065
21,21,0.31677956836383975
