Generation,WOC,WOB,WMMd,WMMr,W_average
0,0.6326799999999999,-0.9421,-0.8178,-1.19612,-0.725612
1,0.2172112607625638,-0.6741356663097039,-0.3348363590753848,-0.7714524197167901,-0.27360438563326694
2,0.00806859758872247,-0.5329865582274499,-0.047452413756397194,-0.5405734343519306,-0.1462740407925835
3,-0.038030630919970276,-0.49270017313524445,0.0720441336497546,-0.4828818309343469,-0.0873029939166502
4,-0.016572828033079468,-0.4946788362991128,0.11782188975652508,-0.49994117211192324,-0.027667005861374543
5,0.024146816300632423,-0.5104645223729529,0.13176160379323765,-0.5397602401363264,0.027060510452256152
6,0.0614120818676982,-0.5268627160089295,0.13276274159756918,-0.5772525403363551,0.06765822429587662
7,0.08779062241253488,-0.5390695265525489,0.12994542628170147,-0.6039400451745787,0.09313513015447956
8,0.10393084392850094,-0.5467453536924882,0.12704544419802155,-0.6202346040316564,0.10745727765303896
9,0.11295949469012623,-0.5511102824444262,0.12503614660241769,-0.6293009675290144,0.11500048259127162
10,0.11773602114875059,-0.5534430664251018,0.12385301698378326,-0.6340645851454247,0.11883102141742423
11,0.12017679538240955,-0.554642515420553,0.12321463690453882,-0.636480088695947,0.12073778085332408
12,0.12139741145023031,-0.5552445331125441,0.12288752920362467,-0.6376782007121526,0.12167668391475123
13,0.12199977115201888,-0.5555421974033846,0.12272518150916967,-0.6382644441676545,0.12213632636048861
14,0.12229463739563151,-0.555688029320798,0.12264620514610014,-0.6385489397179543,0.12236066652091433
15,0.12243828891871411,-0.5557590813219003,0.12260827064166135,-0.6386863314493929,0.12247000226008072
16,0.12250809621681413,-0.5557935955336482,0.12259019056561415,-0.6387525179250317,0.12252326966358486
17,0.12254197481672469,-0.5558103346119434,0.12258161230288334,-0.6387843640161304,0.12254921957340104
18,0.12255840956796793,-0.5558184479652366,0.12257755270294779,-0.6387996830218565,0.12256186560826107
19,0.12256638190177482,-0.5558223798358755,0.1225756346596516,-0.6388070532243749,0.12256803125361819
20,0.12257025592084636,-0.5558242886685756,0.1225747263141228,-0.6388106067016799,0.1225710418782989
21,0.12257213213238871,-0.5558252120440593,0.12257429920367358,-0.6388123139579069,0.12257250848916121
22,0.12257304535895286,-0.5558256611110998,0.12257409625585192,-0.6388131391457178,0.12257322539464321
23,0.12257348850544525,-0.5558258787471144,0.12257400076744784,-0.6388135366322679,0.12257357540493795
24,0.12257370679661661,-0.555825985907082,0.12257395450631914,-0.6388137313654163,0.12257374821890249
0,0.12257370679661661,-0.555825985907082,-1.5238260454936805,-0.6388137313654163,-0.5917912553777716
1,-0.45262591446911893,-0.2290080229991357,-1.0967839276037668,-0.02352444730699088,-0.5889104018437035
2,-0.6291559348841341,-0.12870688770414063,-0.965723845207425,0.1653091570997829,-0.6773987659908886
3,-0.705805674239218,-0.08515592880174061,-0.9088174112391112,0.24730110631664837,-0.7288901470160486
4,-0.7465006418949656,-0.06203385486532176,-0.8786048990096205,0.2908323203272667,-0.7594438510958442
5,-0.7707315174679714,-0.04826646818702929,-0.8606162413526901,0.3167519501475111,-0.7786952636861333
6,-0.7862126263876512,-0.03947076388525084,-0.8491248181344933,0.3333121826463008,-0.791407473096939
7,-0.7965645061138495,-0.033589980572331424,-0.8414443291367137,0.34438676132461454,-0.80008369279073
8,-0.8036932372094898,-0.029542134062598757,-0.8361639109710914,0.3520179663775507,-0.8061302754976939
9,-0.8086723629101169,-0.02672021928837176,-0.832497785971176,0.357366373123188,-0.8103580830260388
10,-0.8120851236123172,-0.02480177940612438,-0.8300438648611659,0.3610988984429051,-0.8131636462998723
11,-0.8140648274915488,-0.02373868889790265,-0.8287914361812829,0.36350664516178455,-0.8144327350476402
12,-0.8139187796081161,-0.024011284197216654,-0.8295142079153961,0.36435245288052753,-0.8128814976247647
13,-0.8086793881996218,-0.027577462870817082,-0.8351858310111955,0.36212834655647375,-0.8038106930166229
14,-0.7888011403741494,-0.040671021108471095,-0.8550918757442376,0.35179697263132015,-0.7728147066458985
15,-0.7295450435145125,-0.07935315601965476,-0.9128169213091928,0.32016450213320313,-0.6854882948542587
16,-0.5950713775406751,-0.16660955029244728,-1.0413001968647697,0.24727954332276325,-0.5065033521482714
17,-0.4013611110565263,-0.2913838107574812,-1.2226112852509416,0.13908712242578702,-0.29454758014251914
18,-0.23604631618667815,-0.3969478474343784,-1.3738339012633543,0.043002026773927726,-0.1583850480698104
19,-0.14026563125839464,-0.45761374208847455,-1.459442852346065,-0.014454801515368931,-0.09942636662700768
20,-0.09505627705709552,-0.48605973659072715,-1.4989165935260211,-0.041898208948711435,-0.07683654996098582
21,-0.07556556498476708,-0.49825402892608966,-1.5154747114880394,-0.053604550750988134,-0.06803758401931409
22,-0.06743067537505099,-0.5033137465582114,-1.522131857081316,-0.05831962287087422,-0.06442344157760631
23,-0.06403452099906781,-0.5054109088095354,-1.524762510806879,-0.060160242784810025,-0.06284708516902027
24,-0.06258342456520793,-0.5062985994457154,-1.5257990551836946,-0.0608647591260445,-0.06211359911660165
25,-0.0619368568921288,-0.5066894519970226,-1.5262107452923235,-0.061130150089984125,-0.061748463074549086
26,-0.06163204456625482,-0.5068711803273724,-1.5263773679076937,-0.06122835697391826,-0.0615545709668774
27,-0.061478878828981065,-0.5069611985684797,-1.5264469371666327,-0.061263755403275555,-0.06144576514234646
28,-0.06139696146381812,-0.507008717796542,-1.5264773154243045,-0.06127594079682219,-0.06138205102556264
29,-0.061350742041551554,-0.5070352467051843,-1.5264913664990507,-0.06127976055473394,-0.06134359745718232
30,-0.06132357548190914,-0.5070507185188226,-1.5264982988505365,-0.06128069254624702,-0.06131991797942293
31,-0.06130714983023611,-0.5070600233040621,-1.5265019438600334,-0.06128071484104369,-0.061305156410733364
32,-0.06129701404282928,-0.5070657454959033,-1.526503979336677,-0.061280516957439746,-0.06129587375005401
33,-0.06129068514046254,-0.5070693107421651,-1.5265051652414126,-0.061280309079078554,-0.0612900082659157
34,-0.06128670244036993,-0.5070715513073552,-1.5265058785947676,-0.06128014567417517,-0.06128629043287798
35,-0.061284186050044376,-0.5070729657756952,-1.526506316190249,-0.0612800294101008,-0.061283930677853676
36,-0.06128259133098968,-0.5070738617982433,-1.5265065893300607,-0.06127995158202504,-0.06128243180234135
37,-0.06128157346594376,-0.5070744336283326,-1.526506762751664,-0.06127990101806291,-0.06128147438566822
38,-0.0612809287811491,-0.5070747956353627,-1.5265068705960716,-0.0612798670172745,-0.061280866356808406
39,-0.06128052142315654,-0.5070750242756776,-1.5265069374806868,-0.061279844248187665,-0.061280481068748824
40,-0.06128026074283777,-0.5070751706610428,-1.5265069809034304,-0.06127983024085948,-0.06128023492618637
41,-0.06128009193320205,-0.5070752655607689,-1.5265070100274665,-0.06127982214615524,-0.06128007630716283
42,-0.06127998492364706,-0.5070753257230799,-1.5265070284525009,-0.061279817028313754,-0.061279975791396345
43,-0.06127991936212984,-0.5070753624871016,-1.5265070386449833,-0.06127981291833562,-0.06127991347325008
44,-0.06127987832125936,-0.5070753854708248,-1.526507044629056,-0.06127981005121197,-0.061279874276184323
45,-0.06127985147756887,-0.5070754005813884,-1.5265070492994606,-0.06127980899264984,-0.061279849342277815
46,-0.061279833852573184,-0.5070754106048925,-1.526507053351739,-0.061279809306345356,-0.06127983380684989
47,-0.0612798222006955,-0.5070754173018188,-1.5265070566139147,-0.06127981007372596,-0.061279823967585384
48,-0.06127981541401728,-0.5070754211989674,-1.5265070581173124,-0.061279809973320276,-0.061279817657916576
49,-0.06127981013451045,-0.5070754242489038,-1.5265070593987091,-0.06127981000159877,-0.06127981282587046
50,-0.061279807148084675,-0.5070754259730654,-1.5265070598283654,-0.06127980961852031,-0.06127980967223297
51,-0.06127980637916475,-0.5070754264053496,-1.5265070593157746,-0.06127980871858796,-0.06127980804192043
52,-0.06127980572984004,-0.5070754267728378,-1.5265070589135958,-0.061279808080555,-0.06127980682261632
53,-0.0612798062914266,-0.5070754264372118,-1.5265070580742441,-0.06127980729932059,-0.06127980659293879
54,-0.06127980659788068,-0.5070754262364439,-1.526507057205836,-0.061279806416638216,-0.06127980604175374
55,-0.061279807370500095,-0.5070754258454693,-1.526507056903096,-0.06127980627611462,-0.061279806556036376
56,-0.06127980809555278,-0.5070754254917913,-1.5265070566516958,-0.06127980617243822,-0.061279807048767954
57,-0.06127980823084267,-0.5070754256005421,-1.5265070570368455,-0.06127980652562748,-0.06127980727429944
58,-0.06127980836613256,-0.5070754257092929,-1.526507057421995,-0.06127980687881629,-0.061279807499830766
59,-0.06127980850142234,-0.5070754258180437,-1.5265070578071445,-0.06127980723200532,-0.0612798077253621
60,-0.06127980863671245,-0.5070754259267943,-1.5265070581922942,-0.06127980758519436,-0.06127980795089364
61,-0.06127980877200234,-0.5070754260355452,-1.5265070585774434,-0.06127980793838339,-0.061279808176425046
62,-0.06127980890729201,-0.507075426144296,-1.5265070589625929,-0.061279808291572646,-0.061279808401956404
63,-0.0612798090425819,-0.5070754262530468,-1.5265070593477428,-0.06127980864476168,-0.06127980862748782
64,-0.06127980917787168,-0.5070754263617976,-1.5265070597328922,-0.06127980899795071,-0.061279808853019146
