Generations no drug,Generations drug,MM number
2,2,25.50833199371575
2,3,22.51284950287144
2,4,20.889622038390673
2,5,19.888394380691803
2,6,19.216522627071512
2,7,18.737577356460786
2,8,18.380236557654435
2,9,18.103998033610548
2,10,17.884334910105963
2,11,17.7056042879673
2,12,17.557394090013634
2,13,17.432521860750153
2,14,17.325881074918563
2,15,17.233745704142354
2,16,17.15333596685501
2,17,17.082536830714897
2,18,17.019711428882125
2,19,16.963573595961265
2,20,16.913099006564924
2,21,16.86746185710963
3,2,29.539576471438686
3,3,25.612568752806677
3,4,23.332544548002552
3,5,21.871202723855536
3,6,20.869071515054628
3,7,20.146273471804953
3,8,19.60396878428866
3,9,19.183986777225776
3,10,18.85018841802626
3,11,18.57910355245367
3,12,18.354912111815853
3,13,18.166607797328837
3,14,18.006321982783252
3,15,17.868294698214438
3,16,17.748221228064175
3,17,17.642825199683553
3,18,17.549572079445344
3,19,17.466472641306726
3,20,17.391945154890724
3,21,17.324717115366585
4,2,32.9461248807581
4,3,28.49188120038097
4,4,25.74019161091223
4,5,23.903573832561474
4,6,22.60911809355966
4,7,21.657873147868205
4,8,20.935045365041617
4,9,20.3704639423233
4,10,19.919221915913567
4,11,19.551467096681808
4,12,19.24670498780707
4,13,18.99046958161486
4,14,18.772300545855174
4,15,18.584471995385613
4,16,18.421169605859713
4,17,18.277944005456476
4,18,18.15133898212267
4,19,18.038633406863585
4,20,17.937658646232453
4,21,17.846667215939547
5,2,35.76655972224151
5,3,31.05736015873461
5,4,27.99648334068168
5,5,25.87884434833321
5,6,24.3467771655359
5,7,23.198930035785228
5,8,22.314044798753603
5,9,21.615395140538286
5,10,21.052479144098417
5,11,20.590943213742445
5,12,20.206750850715718
5,13,19.882667713503462
5,14,19.60606848451426
5,15,19.36752685949896
5,16,19.159884706915047
5,17,18.977623114587356
5,18,18.816428280115016
5,19,18.67288625001032
5,20,18.544264554376625
5,21,18.42835341051038
6,2,38.104875617556104
6,3,33.30947989297626
6,4,30.061296242963643
6,5,27.744297461607598
6,6,26.02848914684098
6,7,24.719608810683287
6,8,23.696290621695375
6,9,22.87936964693375
6,10,22.215401171088324
6,11,21.66724790688287
6,12,21.20845461779171
6,13,20.819761335995462
6,14,20.486874463485808
6,15,20.19900307742877
6,16,19.947874604087666
6,17,19.727058729109302
6,18,19.531493991949382
6,19,19.357150602143523
6,20,19.200786463789537
6,21,19.05976810184864
7,2,40.060186281361084
7,3,35.28029075659546
7,4,31.931382782267175
7,5,29.47985479418588
7,6,27.627111717178593
7,7,26.190685107013106
7,8,25.052926660259335
7,9,24.13502729491759
7,10,23.38256830161626
7,11,22.757000362185735
7,12,22.230404696267637
7,13,21.782163989326694
7,14,21.39678720531272
7,15,21.06245318569723
7,16,20.77001453669496
7,17,20.51230265783181
7,18,20.283634604230713
7,19,20.07945745629311
7,20,19.896088237945403
7,21,19.730520997956994
8,2,41.712643512398486
