Generations no drug,Generations drug,MM number
2,2,37.88414816305694
2,3,35.52242925361573
2,4,34.515755764804965
2,5,34.11301545927257
2,6,34.004059217051214
2,7,34.04446205442081
2,8,34.16155094657598
2,9,34.31680316531588
2,10,34.48908727823129
2,11,34.66658531049841
2,12,34.84266060866001
2,13,35.013641166509366
2,14,35.17758651591378
2,15,35.3335785999418
2,16,35.481306774994906
2,17,35.62081740329902
2,18,35.7523623947211
2,19,35.876306366140845
2,20,35.99306933397737
2,21,36.103091661753545
3,2,41.223221555061876
3,3,37.985760337301805
3,4,36.22456028567128
3,5,35.23571369343725
3,6,34.68296983233016
3,7,34.38908260675893
3,8,34.25408780764592
3,9,34.218751066788414
3,10,34.24662971191164
3,11,34.31464263441696
3,12,34.407837275590445
3,13,34.51635866484365
3,14,34.63362945019011
3,15,34.75522415935967
3,16,34.87815513624422
3,17,35.00040908306671
3,18,35.120640779290795
3,19,35.23796741649489
3,20,35.35182842267158
3,21,35.461888611920166
4,2,43.916926375038194
4,3,40.31590587164099
4,4,38.12067270192071
4,5,36.734579131992184
4,6,35.844479166853915
4,7,35.271979349866356
4,8,34.909424208756846
4,9,34.68897175057933
4,10,34.56639708348068
4,11,34.51207546169316
4,12,34.50571559755918
4,13,34.533161927450735
4,14,34.58438819106104
4,15,34.65220360727699
4,16,34.73139840696636
4,17,34.818167857951735
4,18,34.90971656539066
4,19,35.00398316903539
4,20,35.099444776396346
4,21,35.19497744143133
5,2,46.056932698031424
5,3,42.34967251300657
5,4,39.92281885019432
5,5,38.283693068979154
5,6,37.15541358002361
5,7,36.37106351999883
5,8,35.82489244999141
5,9,35.447316095063925
5,10,35.191147785289395
5,11,35.02359212514822
5,12,34.92138367032724
5,13,34.867730321469374
5,14,34.85033221258694
5,15,34.86006635121691
5,16,34.89009306279814
5,17,34.93523734578886
5,18,34.991553271911
5,19,35.056012677212294
5,20,35.126279569604854
5,21,35.200544460316834
6,2,47.77574847670475
6,3,44.09197324824181
6,4,41.55670468620151
6,5,39.764231864614594
6,6,38.47425845775019
6,7,37.535395933694765
6,8,36.84803021633866
6,9,36.344388070336954
6,10,35.977106423658284
6,11,35.712343337457334
6,12,35.52546181094438
6,13,35.39823803467183
6,14,35.317004898549484
6,15,35.27139028237664
6,16,35.253440015998486
6,17,35.25699933728742
6,18,35.277267809692496
6,19,35.310475715518706
6,20,35.35364524558585
6,21,35.40441235170227
7,2,49.17836980979926
7,3,45.58315063480463
7,4,43.014359625134034
7,5,41.13592286809427
7,6,39.74032533233004
7,7,38.69209187664021
7,8,37.89929096128147
7,9,37.297656097329465
7,10,36.841167435537216
7,11,36.49620466170862
7,12,36.23778417949848
7,13,36.04706512421757
7,14,35.90965838186727
7,15,35.81444945523967
7,16,35.75277009023214
7,17,35.71780053579731
7,18,35.704134550778505
7,19,35.7074573409132
7,20,35.72430490618659
7,21,35.75188204219405
8,2,50.34116038064339
8,3,46.865812988440936
8,4,44.30911567081551
8,5,42.39011459475099
8,6,40.92937102216756
8,7,39.80623564356248
8,8,38.936703573560806
8,9,38.26069961238244
8,10,37.734319872041766
8,11,37.32488969147661
8,12,37.0077102757724
8,13,36.763858092041936
8,14,36.578661044581935
8,15,36.44062615768369
8,16,36.34066503500446
8,17,36.27153363162048
8,18,36.227415154667
8,19,36.203608787701704
8,20,36.196293744389635
8,21,36.20234888665237
9,2,51.319083635611555
9,3,47.97685484564184
9,4,45.459906984194326
9,5,43.530955783804636
9,6,42.0341750493898
9,7,40.8621589325017
9,8,39.938469105378836
9,9,39.20736881285204
9,10,38.627407765236285
9,11,38.16724491430806
9,12,37.802841612103876
9,13,37.51552921854982
9,14,37.29064948756508
9,15,37.116579975137746
9,16,36.984027053737826
9,17,36.88549929575662
9,18,36.81491832536741
9,19,36.76732124214819
9,20,36.73863372763137
9,21,36.72549469205773
10,2,52.152085794429034
10,3,48.94641369794983
10,4,46.485679295121656
10,5,44.567410005432485
10,6,43.05551450155859
10,7,41.85418216804558
10,8,40.89392784448155
10,9,40.12322314426896
10,10,39.5031617416014
10,11,39.003917276912546
10,12,38.602321294256804
10,13,38.28016811058705
10,14,38.023004982291596
10,15,37.81925323715863
10,16,37.6595624844134
10,17,37.5363252764153
10,18,37.44331204413454
10,19,37.375392702429764
10,20,37.32832001193072
10,21,37.298561262337024
11,2,52.869655492314976
11,3,49.798660462483284
11,4,47.40353051987141
11,5,45.50977713826954
11,6,43.99779739208169
11,7,42.78183749231811
11,8,41.798674528181145
11,9,41.000725594546736
11,10,40.35158028803604
11,11,39.822983916294206
11,12,39.39274228662435
11,13,39.04323340127247
11,14,38.760331696537285
11,15,38.532617537436145
11,16,38.350787564888
11,17,38.20721173892391
11,18,38.09559228559071
11,19,38.010702908580676
11,20,37.94818539054055
11,21,37.90438929981926
12,2,53.493931393293714
12,3,50.5529193327073
12,4,48.228267637924134
12,5,46.36819012095949
12,6,44.866897275685275
12,7,43.647325379179954
12,8,42.651830994050485
12,9,41.83645916174396
12,10,41.16717426294175
12,11,40.6172766358187
12,12,40.16558338495813
12,13,39.79511934322395
12,14,39.492159425277706
12,15,39.245516936964165
12,16,39.046008642855334
12,17,38.8860463052913
12,18,38.75932490063073
12,19,38.66057484790647
12,20,38.585375086286575
12,21,38.52999866119212
13,2,54.04180845901475
13,3,51.22469097673553
13,4,48.97248930882971
13,5,47.152005879422894
13,6,45.66907308794691
13,7,44.454132744348
13,8,43.45448496933851
13,9,42.6294738754036
13,10,41.947281606889675
13,11,41.38270488692703
13,12,40.915567921344866
13,13,40.529567678376196
13,14,40.211419276459125
13,15,39.95021545662278
13,16,39.73694021716257
13,17,39.56409430747579
13,18,39.425407007368925
13,19,39.31560780803355
13,20,39.23024634243961
13,21,39.16555241065217
14,2,54.526378139039274
14,3,51.826486167565584
14,4,49.64684192966895
14,5,47.86960618410079
14,6,46.41043924615902
14,7,45.20627469734796
14,8,44.20878211026581
14,9,43.38028545649855
14,10,42.69101561046409
14,11,42.117184351351554
14,12,41.639593531500104
14,13,41.24261273867615
