Generations no drug,Generations drug,MM number
2,2,35.1532646102355
2,3,34.05042057169306
2,4,34.31138166501129
2,5,34.954775218026136
2,6,35.6837783474395
2,7,36.3973289711561
2,8,37.06131259216919
2,9,37.6666965249823
2,10,38.21414602672019
2,11,38.707924764545744
2,12,39.15337329763816
2,13,39.555860189050485
2,14,39.92036720363791
2,15,40.25135259750045
2,16,40.552737171200334
2,17,40.82793973214626
2,18,41.07993114249688
2,19,41.3112910735903
2,20,41.524261822679435
2,21,41.720795566969
3,2,38.476868309455654
3,3,35.435506582410106
3,4,34.568428220407455
3,5,34.532268939557355
3,6,34.84320979720124
3,7,35.298622914519235
3,8,35.805861518768445
3,9,36.32048562795483
3,10,36.82090172882077
3,11,37.29694514956001
3,12,37.74437246219425
3,13,38.162061922505366
3,14,38.55053303348807
3,15,38.91114197270458
3,16,39.24563565275017
3,17,39.55590332256402
3,18,39.843838947816934
3,19,40.111266886953274
3,20,40.35990414105206
3,21,40.59134371632794
4,2,42.11453931834488
4,3,37.65206383871874
4,4,35.831904735503365
4,5,35.15663013668072
4,6,35.03222517934937
4,7,35.18745066760954
4,8,35.48649838763185
4,9,35.85694944298669
4,10,36.25852201869423
4,11,36.66824037380708
4,12,37.07288680507806
4,13,37.46494022097639
4,14,37.84029070061958
4,15,38.1969061913521
4,16,38.534031206170994
4,17,38.85169399722503
4,18,39.15039768230636
4,19,39.43092403041074
4,20,39.69420773495193
4,21,39.941255381969434
5,2,45.5992224479271
5,3,40.133110268534764
5,4,37.551442761638015
5,5,36.32480328175838
5,6,35.80112195876209
5,7,35.665047406546215
5,8,35.75018038127834
5,9,35.96297467539715
5,10,36.248336867851556
5,11,36.572713443285636
5,12,36.915200677251285
5,13,37.262608595597754
5,14,37.606593709174945
5,15,37.941929924977245
5,16,38.26543246544959
5,17,38.57527049090732
5,18,38.87051767113337
5,19,39.15085331634478
5,20,39.41636026548016
5,21,39.667386459567986
6,2,48.79836231331838
6,3,42.64251020693003
6,4,39.468002182708325
6,5,37.78200104257452
6,6,36.90933153728362
6,7,36.50839738208885
6,8,36.39191150599914
6,9,36.45077821273001
6,10,36.61843932824292
6,11,36.85283432162593
6,12,37.12667818615057
6,13,37.421941718636944
6,14,37.72657584372017
6,15,38.03249387130478
6,16,38.33428849685926
6,17,38.62839347370596
6,18,38.912522825822045
6,19,39.18528815286626
6,20,39.44593287304818
6,21,39.694145352304446
7,2,51.689288762744205
7,3,45.07503149521702
7,4,41.44763609214934
7,5,39.386601025759575
7,6,38.2165050260652
7,7,37.58241289617352
7,8,37.283569499079725
7,9,37.19977223016745
7,10,37.2557634242157
7,11,37.40274991425101
7,12,37.608230804778316
7,13,37.85011503785838
7,14,38.11317144318726
7,15,38.386806966458124
7,16,38.663631574545526
7,17,38.93850560406968
7,18,39.20789189329894
7,19,39.46940626525225
7,20,39.72149989151848
7,21,39.96323132454138
8,2,54.28781183147457
8,3,47.38461000680014
8,4,43.4177663569704
8,5,41.05530742646941
8,6,39.63599716460215
8,7,38.80073713611194
8,8,38.340931745727865
8,9,38.12878555556274
8,10,38.082598672167165
8,11,38.14833408849554
8,12,38.28927973052707
8,13,38.47997143295302
8,14,38.702474195482836
8,15,38.94402345997553
8,16,39.19548228009082
8,17,39.450304159042076
8,18,39.7038187796699
8,19,39.95272998888216
8,20,40.19475620779794
8,21,40.42836846258697
9,2,56.622071543099715
9,3,49.553900670650286
9,4,45.33856101298427
9,5,42.73747879619297
9,6,41.112259300416945
9,7,40.106024136102
9,8,39.50655782251171
9,9,39.18123256629724
9,10,39.04373803435342
9,11,39.0360337110697
9,12,39.11805097905935
9,13,39.26155142113541
9,14,39.44632062304961
9,15,39.65772619943741
9,16,39.88510305601087
9,17,40.120656379024766
9,18,40.35869825468955
9,19,40.59510492329023
9,20,40.82692415842875
9,21,41.05208576122597
10,2,58.72239602117557
10,3,51.579948049902455
10,4,47.18863731533245
10,5,44.40185145755222
10,6,42.608804476083606
10,7,41.45915828918165
10,8,40.74019654347958
10,9,40.31660875593422
10,10,40.09895232760771
10,11,40.026210679082844
10,12,40.05568213959749
10,13,40.15687066687534
10,14,40.30765465981536
10,15,40.491804680706565
10,16,40.69732584149309
10,17,40.91532118524163
10,18,41.13919335972215
10,19,41.36407163210393
10,20,41.5863937399368
10,21,41.80359370489397
11,2,60.617414020876545
11,3,53.46699000832594
11,4,48.9573686194083
11,5,46.02914496498618
11,6,44.101340685708884
11,7,42.83297027707989
11,8,42.01308161793849
11,9,41.50533773569313
11,10,41.21834838297557
11,11,41.08896794679191
11,12,41.07247220013896
11,13,41.136550586066335
11,14,41.25749930063261
11,15,41.4177316100554
11,16,41.60410088300719
11,17,41.80674085220246
11,18,42.01824439788617
11,19,42.233069252275314
11,20,42.44709941346343
11,21,42.657317524551004
12,2,62.33274200505343
12,3,55.22269550551855
12,4,50.640520257386214
12,5,47.607710358975645
12,6,45.57363238611793
12,7,44.20837982871146
12,8,43.30437129216968
12,9,42.72550424760003
12,10,42.379382615423815
12,11,42.20142653013187
12,12,42.14540164776759
12,13,42.177562463629776
12,14,42.27290563721369
12,15,42.412698719340135
12,16,42.58280235149132
12,17,42.77250113578913
12,18,42.97366951329569
12,19,43.18016234779437
12,20,43.38736376143024
12,21,43.591845205245825
13,2,63.89074380616594
13,3,56.85615496578382
13,4,52.2376773855529
13,5,49.130857482686714
13,6,47.014899203208934
13,7,45.57192646240461
13,8,44.59883504976699
13,9,43.96070215916247
13,10,43.56486811462859
13,11,43.34588515377399
13,12,43.256437431656
13,13,43.261668218635194
13,14,43.335520245421684
13,15,43.45830152392324
13,16,43.6150218648032
13,17,43.794225070103344
13,18,43.987149608981575
13,19,44.18711220370846
13,20,44.38904560079713
13,21,44.58914831230923
14,2,65.31072115803249
14,3,58.37680230625742
14,4,53.75068718722902
14,5,50.59515890154797
14,6,48.41812013878747
14,7,46.914132884721525
14,8,45.88529868392628
14,9,45.198570203651386
14,10,44.761602867896435
14,11,44.50853975280827
14,12,44.39134022626475
14,13,44.37431224713554
14,14,44.430556968554164
14,15,44.53958649716909
14,16,44.685686305139114
14,17,44.85675698392358
14,18,45.04347683572031
14,19,45.23868235061215
14,20,45.43690072709989
14,21,45.633992788942095
15,2,66.60925410472385
15,3,59.79384623956282
15,4,55.1826974911307
15,5,51.99934616855105
15,6,49.77889935340625
15,7,48.22838969176353
15,8,47.155569570715464
15,9,46.42976753643823
15,10,45.959399692624686
15,11,45.678568754232074
15,12,45.53880493118426
15,13,45.50381460406577
15,14,45.54604061298252
15,15,45.64434361688459
15,16,45.78239698386991
15,17,45.947546035251186
15,18,46.12997752419558
15,19,46.322101527482786
15,20,46.51808196023405
15,21,46.71347375801028
16,2,67.80056965980802
16,3,61.11598474682457
16,4,56.53755644086355
16,5,53.343577343117516
16,6,51.094689784220606
16,7,49.51017576836752
16,8,48.40367574110409
16,9,47.64724018192029
16,10,47.15038440820587
16,11,46.84746466621124
16,12,46.689825745932076
16,13,46.640769925627495
16,14,46.67224044086398
16,15,46.76257222522016
16,16,46.89492673893504
16,17,47.05617316470829
16,18,47.23606930928236
16,19,47.42664810384629
16,20,47.62174880194007
16,21,47.81665184426866
17,2,68.896888301115
17,3,62.351277945062364
17,4,57.819436016741484
17,5,54.62894378619644
17,6,52.364252164127954
17,7,50.75650577655733
17,8,49.62531649908445
17,9,48.845685035624115
17,10,48.328477661449966
17,11,48.008536221483254
17,12,47.83721983593682
17,13,47.77759329582615
17,14,47.801235908187174
17,15,47.88606782737189
17,16,48.01482734266317
17,17,48.173978833422446
17,18,48.35290803314618
17,19,48.543316074113925
17,20,48.73875335040292
17,21,48.93425458451995
18,2,69.90873084005834
18,3,63.507109944812704
18,4,59.03259654979241
18,5,55.857134467768475
18,6,53.58727271227574
18,7,51.965528807660576
18,8,50.81745903413176
18,9,50.02115154148555
18,10,49.48900612080136
18,11,49.15653125718632
18,12,48.975263065487304
18,13,48.90816834937885
18,14,48.92657990296953
18,15,49.00809910379633
18,16,49.13512034008687
18,17,49.29376724963144
18,18,49.473105349374165
18,19,49.664545495907646
18,20,49.8613827538836
18,21,50.058432438900745
19,2,70.8451815239777
19,3,64.59019824184365
19,4,60.181241432496314
19,5,57.03020589201892
19,6,54.76408981383177
19,7,53.13623536563931
19,8,51.9780380744361
19,9,51.170741484048115
19,10,50.62840617375483
19,11,50.28734668794735
19,12,50.09940752408034
19,13,50.027574240712454
19,14,50.043033187626314
19,15,50.12315152280593
19,16,50.25004960864339
19,17,50.4095681064219
19,18,50.59049936050457
19,19,50.78400239952259
19,20,50.983147642568134
19,21,51.18255596472419
20,2,71.71411045301662
20,3,65.60662901714238
20,4,61.26942985363195
20,5,58.15042382175898
20,6,55.895496953408596
20,7,54.2682402488072
20,8,53.10572968181276
20,9,52.292379629587465
20,10,51.743995452433815
20,11,51.39780271559646
20,12,51.20605990130487
20,13,51.13186819965568
20,14,51.14635323821998
20,15,51.22672134791503
20,16,51.35488111424799
20,17,51.51644200496645
20,18,51.699966248072
20,19,51.89639595588081
20,20,52.09860574745733
20,21,52.301044967547234
21,2,72.52236001371793
21,3,66.56190393545499
21,4,62.301027057682965
21,5,59.22015448999649
21,6,56.982599598249955
21,7,55.36162046053813
21,8,54.1997790028369
21,9,53.38463717532974
21,10,52.833794768630106
21,11,52.48546555261913
21,12,52.292405602986264
21,13,52.21791233892788
21,14,52.23312348625071
21,15,52.31514854406326
21,16,52.445739304820485
21,17,52.61032075518035
21,18,52.7972637872166
21,19,52.99732625505781
21,20,53.20321312862854
21,21,53.409224021896904
