Strength WMMd IH,Strength MMd GF IH,MM number
0.0,0.0,0.39053889875474335
0.0,0.02,0.38171221561486657
0.0,0.04,0.3736331390489769
0.0,0.06,0.3663261110563738
0.0,0.08,0.3598052207107123
0.0,0.1,0.353950351669006
0.0,0.12,0.34865690514095427
0.0,0.14,0.3439870325236912
0.0,0.16,0.33978996864399896
0.0,0.18,0.3360730866958339
0.0,0.2,0.3328262979644385
0.0,0.22,0.3299633973020495
0.0,0.24,0.327420946907803
0.0,0.26,0.32521557341621343
0.0,0.28,0.3232693652382005
0.0,0.3,0.3215748971998351
0.0,0.32,0.3201100817432389
0.0,0.34,0.3188340060906599
0.0,0.36,0.31772405624055455
0.0,0.38,0.31676154986578914
0.0,0.4,0.31593178163325936
0.02,0.0,0.3805452546170643
0.02,0.02,0.3722053501315712
0.02,0.04,0.3646209439983803
0.02,0.06,0.35780652511107436
0.02,0.08,0.3517648763111344
0.02,0.1,0.34638111611670386
0.02,0.12,0.3415575119110245
0.02,0.14,0.3373369404965654
0.02,0.16,0.3335851509011449
0.02,0.18,0.330299389334447
0.02,0.2,0.3274591107724625
0.02,0.22,0.3249867482763406
0.02,0.24,0.32282789543016177
0.02,0.26,0.3209799002428175
0.02,0.28,0.3193836323041758
0.02,0.3,0.3180221231148197
0.02,0.32,0.3168640693362002
0.02,0.34,0.31587823435566753
0.02,0.36,0.31505134131771884
0.02,0.38,0.3143469062930795
0.02,0.4,0.31376857346139975
0.04,0.0,0.37156041335458767
0.04,0.02,0.363714603366317
0.04,0.04,0.3566299832569497
0.04,0.06,0.3503615519928442
0.04,0.08,0.3447512388159276
0.04,0.1,0.339839472426236
0.04,0.12,0.33548521242820595
0.04,0.14,0.33171291988992885
0.04,0.16,0.3284043050142271
0.04,0.18,0.3255677447908797
0.04,0.2,0.3231105279817053
0.04,0.22,0.3210257137998972
0.04,0.24,0.31924680504357117
0.04,0.26,0.3177528545218876
0.04,0.28,0.31650265439924485
0.04,0.3,0.31546283738967673
0.04,0.32,0.3146155426605821
0.04,0.34,0.3139166470563464
0.04,0.36,0.31336911159050534
0.04,0.38,0.3129196666897934
0.04,0.4,0.3125893239528885
0.06,0.0,0.3635002068830857
0.06,0.02,0.35615277949993535
0.06,0.04,0.34957026559592036
0.06,0.06,0.3437911166810517
0.06,0.08,0.3386694075799114
0.06,0.1,0.3342283719629715
0.06,0.12,0.3303409890172486
0.06,0.14,0.32701415324765293
0.06,0.16,0.32414496530990095
0.06,0.18,0.32172411131663703
0.06,0.2,0.3196751921769496
0.06,0.22,0.3179736665557267
0.06,0.24,0.31656988557702115
0.06,0.26,0.31542557184290704
0.06,0.28,0.3145165840260289
0.06,0.3,0.3137926398894179
0.06,0.32,0.31325290621212
0.06,0.34,0.3128368694745658
0.06,0.36,0.3125642790483945
0.06,0.38,0.31236607465860744
0.06,0.4,0.3122796636339213
0.08,0.0,0.3562881806426552
0.08,0.02,0.3494408973839748
0.08,0.04,0.3433604921363767
0.08,0.06,0.3380695711973029
