Generations no drug,Generations drug,MM number
2,2,0.25411400782971727
2,3,0.24992494131833162
2,4,0.2493489502134826
2,5,0.24976524295400138
2,6,0.25046450664218467
2,7,0.251217053483262
2,8,0.2519428296739999
2,9,0.25261507494952284
2,10,0.2532275069821364
2,11,0.25378186690265336
2,12,0.2542828455916067
2,13,0.2547359488839832
2,14,0.25514659065332257
2,15,0.2555197444423116
2,16,0.25585983385574734
2,17,0.2561707310593928
2,18,0.25645580111058897
2,19,0.2567179580229929
2,20,0.2569597255929748
2,21,0.2571832916821089
3,2,0.26345930415367746
3,3,0.25443982813015387
3,4,0.2511647276895468
3,5,0.25003345076248495
3,6,0.24981930182874526
3,7,0.25002366439095713
3,8,0.25042031340117005
3,9,0.25089916660315076
3,10,0.25140442860153955
3,11,0.25190737565921006
3,12,0.25239340535754207
3,13,0.2528555040253577
3,14,0.25329080581255553
3,15,0.2536987180525696
3,16,0.2540798776634566
3,17,0.2544355572184273
3,18,0.25476732693354914
3,19,0.2550768617333598
3,20,0.2553658317799281
3,21,0.2556358429556659
4,2,0.27326733904474804
4,3,0.2607241461259705
4,4,0.2550858393425195
4,5,0.2524065939824704
4,6,0.25116572533264986
4,7,0.2506778707984947
4,8,0.25060137278355615
4,9,0.2507537413671105
4,10,0.25103270074563716
4,11,0.2513789803466348
4,12,0.2517574581044552
4,13,0.2521470620019494
4,14,0.2525351237840814
4,15,0.25291411011752335
4,16,0.2532796759355788
4,17,0.2536294771757015
4,18,0.2539624325014561
4,19,0.25427825654117436
4,20,0.25457716102939715
4,21,0.2548596622225783
5,2,0.2825337531079358
5,3,0.2675570653871484
5,4,0.2600158924912654
5,5,0.25596103247609475
5,6,0.2537348821540617
5,7,0.2525368520295757
5,8,0.2519433251807376
5,9,0.25171542955674403
5,10,0.2517121370080986
5,11,0.25184729125555333
5,12,0.25206687813873785
5,13,0.2523363686464603
5,14,0.2526333806310264
5,15,0.2529432801577312
5,16,0.2532564716021704
5,17,0.2535666875152376
5,18,0.25386988726152643
5,19,0.25416353616771326
5,20,0.25444612302822395
5,21,0.25471683624792224
6,2,0.29094802440177453
6,3,0.27434848079623353
6,4,0.2653338457991176
6,5,0.26011998459702723
6,6,0.25701155507756407
6,7,0.2551454688995381
6,8,0.25404420472189304
6,9,0.2534277066163899
6,10,0.25312458285193096
6,11,0.25302648957839513
6,12,0.2530631720429546
6,13,0.2531881394432787
6,14,0.2533701253584759
6,15,0.25358783811218866
6,16,0.25382664791267934
6,17,0.25407644853858447
6,18,0.2543302485185595
6,19,0.2545832279892955
6,20,0.2548320951610297
6,21,0.25507464268503593
7,2,0.29847625421313556
7,3,0.2808366378443868
7,4,0.2707078154055228
7,5,0.26454496872260913
7,6,0.26067444973925546
7,7,0.2582071261793667
7,8,0.25663304833650097
7,9,0.2556436471398607
7,10,0.2550447352421952
7,11,0.25471036981657247
7,12,0.25455687902962043
7,13,0.254527568836848
7,14,0.2545833950010231
7,15,0.25469710805729523
7,16,0.25484948731412743
7,17,0.2550268663821622
7,18,0.25521947571739506
7,19,0.25542031423264616
7,20,0.2556243684548247
7,21,0.25582806477692466
8,2,0.3051825793180557
8,3,0.28691826217809424
8,4,0.2759637451453439
8,5,0.2690381638715431
8,6,0.264523519973865
8,7,0.2615289666421144
8,8,0.25952788927529863
8,9,0.25819319517322675
8,10,0.25731424107390166
8,11,0.25675154548036233
8,12,0.25641065368925464
8,13,0.25622640055667
8,14,0.2561531178110869
8,15,0.2561583758583201
8,16,0.25621889262951664
8,17,0.2563178051569832
8,18,0.25644281674396996
8,19,0.25658491932847666
8,20,0.25673749831230164
8,21,0.25689569731803613
9,2,0.311159158273411
9,3,0.2925660175185663
9,4,0.28101356461129084
9,5,0.27348406534176894
9,6,0.2684332124263047
9,7,0.2649842208071176
9,8,0.2626050873125706
