Generations no drug,Generations drug,MM number
2,2,0.27731189198650175
2,3,0.29289231419075235
2,4,0.312199193742657
2,5,0.33033825045024484
2,6,0.34622103855018005
2,7,0.35985098102958724
2,8,0.37151720084217366
2,9,0.381544761477085
2,10,0.39022283381494066
2,11,0.39779057867278517
2,12,0.404440715822373
2,13,0.41032736302880946
2,14,0.4155738474722164
2,15,0.42027930959753007
2,16,0.42452396246180596
2,17,0.4283731777624647
2,18,0.4318806371414399
2,19,0.43509075608835107
2,20,0.43804055640774814
2,21,0.4407611205937969
3,2,0.27678497450421824
3,3,0.2779100191704305
3,4,0.2880539822223706
3,5,0.300913916769986
3,6,0.31399207470724605
3,7,0.3263279052370851
3,8,0.33760892975227946
3,9,0.34779454981479024
3,10,0.35695225183706497
3,11,0.3651859013295341
3,12,0.3726048814507911
3,13,0.379311556170484
3,14,0.385396951680416
3,15,0.39094006027814343
3,16,0.3960086229442058
3,17,0.40066044772118037
3,18,0.4049448222606856
3,19,0.4089038215313824
3,20,0.4125734609665849
3,21,0.41598468020333107
4,2,0.2839613098882473
4,3,0.27612104332409143
4,4,0.2789970764527675
4,5,0.2866468458416275
4,6,0.29619601324307276
4,7,0.3062318626262203
4,8,0.316073673020097
4,9,0.3254133188976056
4,10,0.3341322191823438
4,11,0.34220675107298987
4,12,0.349659070821327
4,13,0.3565315467548009
4,14,0.3628735942225607
4,15,0.3687350614707901
4,16,0.37416308748554583
4,17,0.37920078934115625
4,18,0.38388689406665377
4,19,0.3882558464044556
4,20,0.39233812954414055
4,21,0.39616066937688954
5,2,0.2926261430212237
5,3,0.27942192484886896
5,4,0.27706878112920513
5,5,0.2804269833877445
5,6,0.28669744282681725
5,7,0.2943210834415406
5,8,0.3024304450946071
5,9,0.3105509649608404
5,10,0.31843218505751025
5,11,0.32595109709969244
5,12,0.33305652280209913
5,13,0.3397370905596937
5,14,0.3460027810374644
5,15,0.35187434457801237
5,16,0.3573772871018224
5,17,0.3625384999754662
5,18,0.3673844350199829
5,19,0.37194017121422357
5,20,0.37622899301565793
