Generations no drug,Generations drug,MM number
2,2,0.2840288159080535
2,3,0.28286719672002614
2,4,0.28472043526631513
2,5,0.28718680064784746
2,6,0.28961274775635537
2,7,0.29182109365923736
2,8,0.29378107405673104
2,9,0.2955078221408236
2,10,0.2970288958906708
2,11,0.298372814000564
2,12,0.2995653512898442
2,13,0.30062865337306005
2,14,0.3015813590773301
2,15,0.3024390318256957
2,16,0.30321465143976
2,17,0.3039190631280631
2,18,0.3045613619624451
2,19,0.3051492095881542
2,20,0.3056890925046894
2,21,0.30618653028688
3,2,0.29095703117272353
3,3,0.2844695635394374
3,4,0.28327038687167266
3,5,0.28401065463468056
3,6,0.2854677624047243
3,7,0.28714847918951397
3,8,0.2888441691344806
3,9,0.2904668967516664
3,10,0.29198268594860977
3,11,0.2933823267008483
3,12,0.29466793204486813
3,13,0.29584654171777003
3,14,0.29692701706649854
3,15,0.29791853702297105
3,16,0.29882989669561755
3,17,0.2996692049147243
3,18,0.30044378635415103
3,19,0.3011601834388951
3,20,0.30182420499749885
3,21,0.30244099298242993
4,2,0.2991371046807336
4,3,0.2889241987569268
4,4,0.2850869210244561
4,5,0.2840650179207973
4,6,0.28435867112740537
4,7,0.28527379427967897
4,8,0.2864689585117867
4,9,0.2877696794855363
4,10,0.2890851556665263
4,11,0.2903683385412315
4,12,0.2915957507457595
4,13,0.29275685608565954
4,14,0.2938482750782419
4,15,0.29487055835214016
4,16,0.29582635087898457
4,17,0.29671934255422094
4,18,0.29755365975212383
4,19,0.29833351844506034
4,20,0.2990630327039472
4,21,0.299746108236001
5,2,0.30697642825139837
5,3,0.2943057193201166
5,4,0.28840479511489847
5,5,0.2858382494394963
5,6,0.2850122196723891
5,7,0.2851235330333974
5,8,0.28574357030311137
5,9,0.28663401651248643
5,10,0.2876585035895525
5,11,0.2887375747756032
5,12,0.28982459258463494
5,13,0.2908923315763523
5,14,0.29192527143755614
5,15,0.292915044997343
5,16,0.29385768835139414
5,17,0.294751953383239
5,18,0.29559824659949324
