Generation,xOC,xOB,xMM,W_average
0,0.75,0.2,0.05,-0.67704
1,0.62378,0.29836799999999997,0.07785199999999999,-0.5446365035453441
2,0.5518556855671147,0.35924482730447316,0.08889948712841213,-0.5157765608534227
3,0.5241381872875754,0.3912354308710037,0.0846263818414209,-0.5197629862132728
4,0.508026545265825,0.41633164210883666,0.07564181262533842,-0.5284982415008334
5,0.4934110946448109,0.44104696130867505,0.06554194404651417,-0.537744662214042
6,0.47841604765127005,0.4663330429438047,0.05525090940492554,-0.5467441452921704
7,0.46293037767929196,0.4918524939825577,0.04521712833815071,-0.5552169037859622
8,0.4472873967012493,0.5168924556251683,0.03582014767358295,-0.5629929961272122
9,0.4319819604101858,0.5406186081189002,0.027399431470914847,-0.569969267469548
10,0.4175575318841415,0.5622324047371482,0.020210063378711486,-0.5760992277126342
11,0.4045110658404131,0.5811109271867123,0.014378006972876417,-0.5813772519639077
12,0.3932080372673659,0.5969073411757488,0.009884621556888112,-0.5858220874472644
13,0.38382921333227776,0.609581617962162,0.00658916870556479,-0.5894693709117342
14,0.3763644341603421,0.6193575690850904,0.004277996754574866,-0.592373662888592
15,0.370649263623673,0.6266323689182248,0.0027183674581139116,-0.5946118315949386
16,0.3664247604392687,0.6318766236656209,0.0016986158951290495,-0.5962802452740795
17,0.36339776583773037,0.6355540663495384,0.001048167812760991,-0.5974851203904847
18,0.3612867008191546,0.6380723486346128,0.0006409505462801555,-0.598330564573404
19,0.35984818379587585,0.6397623664645163,0.0003894497396838073,-0.5989090626057382
20,0.3588870853485743,0.640877309634197,0.00023560501735022003,-0.5992965064391422
21,0.35825554993426817,0.6416023322765553,0.00014211778937086276,-0.5995513747924219
22,0.3578463268084446,0.6420681120569613,8.556113490483249e-05,-0.5997165536417619
23,0.35758424384744375,0.6423643088992574,5.144725379583167e-05,-0.599822297384037
24,0.35741803218147494,0.6425510577431346,3.0910076185656424e-05,-0.5998893096935984
25,0.3573134831573047,0.6426679551669756,1.8561676991944035e-05,-0.5999314232521485
26,0.35724817172282153,0.6427406854516032,1.1142827610848825e-05,-0.5999577066106895
27,0.3572076072407164,0.6427857049085969,6.687853943512301e-06,-0.5999740159946475
28,0.3571825354693266,0.6428134510272874,4.013508596676691e-06,-0.5999840877007822
29,0.35716710305801125,0.6428304885523134,2.408398012298137e-06,-0.5999902822845378
30,0.35715763711209864,0.642840917755035,1.4451462053953333e-06,-0.5999940792688985
31,0.3571518481337932,0.6428472847605377,8.671270115599975e-07,-0.5999963999131033
32,0.35714831681978726,0.6428511629238115,5.202905489850734e-07,-0.5999978147554708
33,0.3571461673800027,0.6428535204950782,3.1217955541397645e-07,-0.5999986755368545
34,0.3571448615067921,0.6428549512709913,1.8730963456799726e-07,-0.5999991982864591
35,0.35714406941892646,0.6428558183344707,1.1238647155028264e-07,-0.5999995152592073
36,0.3571435896517947,0.6428563431398615,6.74321336371454e-08,-0.5999997072034694
37,0.3571432994271432,0.6428566604715494,4.0459371082387336e-08,-0.5999998233070175
38,0.35714312407833687,0.6428568522189093,2.4275655584324128e-08,-0.5999998934745142
39,0.357143018284817,0.6428569680664205,1.4565405279894113e-08,-0.5999999358582592
40,0.35714295459193585,0.6428570381354449,8.73924749118543e-09,-0.5999999614640068
41,0.3571429164089351,0.64285708069412,5.243550065590497e-09,-0.5999999769614703
42,0.3571428937521375,0.6428571068562999,3.1461306146634236e-09,-0.5999999863967838
43,0.3571428806689204,0.6428571234507098,1.8876785839983327e-09,-0.5999999922358964
44,0.3571428736924291,0.6428571347866577,1.1326072352204739e-09,-0.5999999960023655
45,0.35714287093366937,0.6428571437654768,6.795643785914639e-10,-0.5999999986715908
46,0.35714287157749275,0.6428571526207054,4.0773864724484694e-10,-0.6000000009220197
47,0.3571428756505929,0.6428571634742628,2.446432019065029e-10,-0.6000000033073053
48,0.35714288399771893,0.6428571788466935,1.4678593209526502e-10,-0.6000000063928296
49,0.3571428984535334,0.6428572022443128,8.80715690254281e-11,-0.6000000108902133
