Generation,xOC,xOB,xMM,W_average
0,0.3,0.3,0.4,-0.9533999999999999
1,0.48702,0.30761999999999995,0.20536,-0.8139065844239999
2,0.5539192999061764,0.3232075312765108,0.12287316881731261,-0.8186856117549328
3,0.5547286210172317,0.3613012350769022,0.0839701439058657,-0.8261047629346937
4,0.5313754555520347,0.4105357531850868,0.058088791262878,-0.8266205971369703
5,0.49760564095210913,0.46380765123377266,0.03858670781411725,-0.8237471088781764
6,0.4603384659440229,0.5157040551353724,0.02395747892060291,-0.8203456156965006
7,0.4241195442654459,0.5621587671623394,0.013721688572211531,-0.818160295885779
8,0.39186046838776567,0.6009067781231463,0.007232753489082351,-0.8178103101338696
9,0.3649328575761457,0.6315372486371237,0.003529893786720451,-0.8190323018137088
10,0.3434582868460277,0.6549287220782007,0.00161299107575301,-0.8211705246243715
11,0.3268137039451903,0.6724873540055966,0.0006989420491793925,-0.8236076396038845
12,0.31410372692878125,0.6856056640912338,0.00029060897992345795,-0.8259467604085435
13,0.304452163905201,0.6954307580967045,0.0001170779979821606,-0.8280012054692071
14,0.29712318588425934,0.7028307622106603,4.6051904875050943e-05,-0.8297191217161851
15,0.29154243881894404,0.708439772852083,1.7788328597260604e-05,-0.8311162777502442
16,0.287276643255321,0.7127165799741757,6.776769815454718e-06,-0.8322347043644172
17,0.2840031812168593,0.7159942641654872,2.554616393184264e-06,-0.8331218836005386
18,0.28148225935310284,0.718516785407861,9.552367257627607e-07,-0.8338218937728866
19,0.2795349667444664,0.7204646782847517,3.549665452084227e-07,-0.8343724718178602
20,0.27802700136166636,0.7219728673588106,1.3127175126374116e-07,-0.8348046748659623
21,0.27685688158624266,0.7231430700341175,4.836538026264296e-08,-0.8351435354263197
22,0.27594745033548496,0.7240525318702701,1.776807648216538e-08,-0.8354089979333702
23,0.2752397267647154,0.7247602666744384,6.5128162665802716e-09,-0.8356168468655368
24,0.2746884193696721,0.7253115781590944,2.3830689032489837e-09,-0.8357795241445584
25,0.2742586192106756,0.7257413797566867,8.707867877009208e-10,-0.8359068122433507
26,0.2739233390604609,0.7260766603245439,3.178521161160726e-10,-0.8360063900393775
27,0.2736616657850805,0.7263383335534376,1.1592524283645438e-10,-0.8360842785195884
28,0.273457362438372,0.7265426365176877,4.225223282335842e-11,-0.8361451951041515
29,0.2732978037423962,0.7267021944029668,1.5392236172995448e-11,-0.8361928338363266
30,0.2731731611042466,0.7268268355129403,5.605085855095427e-12,-0.836230086188919
31,0.2730757759528435,0.726924217843785,2.0404635691829388e-12,-0.8362592146583329
32,0.2729996761742768,0.7270003124377293,7.426270135072795e-13,-0.8362819889862277
33,0.27294020188617896,0.7270597772033465,2.7022830617185545e-13,-0.8362997928565575
34,0.2728937151091363,0.7271062464933615,9.831663366830443e-14,-0.8363137072513448
35,0.2728573739890516,0.7271425555012337,3.576623115548962e-14,-0.8363245752574073
36,0.2728289567143298,0.7271709138070009,1.301008904796817e-14,-0.8363330519205452
37,0.2728067235618191,0.7271930386722402,4.732131066931963e-15,-0.8363396416415779
38,0.27278930784731187,0.7272102555336728,1.7211125533750495e-15,-0.836344724457302
39,0.27277562807024536,0.7272235701467319,6.259546841074189e-16,-0.8363485711273401
40,0.2727648142079942,0.7272337134388985,2.27646776878866e-16,-0.8363513448833458
41,0.2727561407240886,0.727241155518303,8.278810345840083e-17,-0.8363530843368204
42,0.2727489568990312,0.7272460780473455,3.010675922372463e-17,-0.8363536562102256
43,0.2727426005483862,0.7272482818572394,1.0948395383080738e-17,-0.8363526561134047
44,0.27273627211328755,0.7272469847680658,3.9813158466907845e-18,-0.8363492166196126
45,0.27272882886867955,0.7272404249185098,1.4477368027008614e-18,-0.8363416472275406
46,0.2727184269057266,0.7272251125431947,5.264206154149131e-19,-0.8363267672610345
47,0.2727018793149958,0.727194440663764,1.914006817296276e-19,-0.8362986761856908
48,0.27267349009969466,0.7271361224145552,6.958198209963321e-20,-0.8362464918302196
49,0.27262292362920065,0.7270274780180022,2.52898970342986e-20,-0.8361501940954075
