Generation,xOC,xOB,xMM,W_average
0,0.8,0.2,0.0,-0.7120000000000002
1,0.7136000000000001,0.28640000000000004,0.0,-0.6321249280000001
2,0.6350218846208002,0.3649781153792001,0.0,-0.5828156367877948
3,0.57869286566556,0.4213071343344405,0.0,-0.5611466207919842
4,0.5441582356486668,0.455841764351334,0.0,-0.5535099095960857
5,0.5244420210218166,0.47555797897818464,0.0,-0.5510753423049357
6,0.5134693951012227,0.4865306048987793,0.0,-0.5503265642879073
7,0.5074125659290932,0.4925874340709099,0.0,-0.5500989030405758
8,0.5040776443863116,0.4959223556136931,0.0,-0.5500299289307347
9,0.5022428264520101,0.49775717354799714,0.0,-0.5500090544868896
10,0.5012335748562519,0.49876642514375935,0.0,-0.5500027390724679
11,0.5006784695497951,0.4993215304502223,0.0,-0.5500008285776756
12,0.5003731588145607,0.49962684118546624,0.0,-0.5500002506455044
13,0.5002052374415524,0.49979476255848937,0.0,-0.5500000758203375
14,0.500112880608436,0.49988711939162883,0.0,-0.5500000229356636
15,0.5000620843372612,0.49993791566283924,0.0,-0.5500000069380468
16,0.5000341463859747,0.49996585361418105,0.0,-0.5500000020987719
17,0.5000187805124356,0.49998121948780583,0.0,-0.550000000634898
18,0.5000103292819723,0.49998967071840206,0.0,-0.5500000001920868
19,0.500005681105274,0.4999943188953064,0.0,-0.5500000000581529
20,0.5000031246081912,0.4999968753927084,0.0,-0.5500000000176637
21,0.500001718534955,0.4999982814664393,0.0,-0.5500000000054555
22,0.5000009451949224,0.4999990548072388,0.0,-0.5500000000018243
23,0.500000519858288,0.4999994801450619,0.0,-0.5500000000008214
24,0.5000002859237334,0.49999971408145893,0.0,-0.5500000000006664
25,0.5000001572606495,0.4999998427473986,0.0,-0.5500000000008494
26,0.5000000864973814,0.4999999135150933,0.0,-0.5500000000012609
27,0.5000000475797971,0.4999999524395387,0.0,-0.5500000000019376
28,0.5000000261785563,0.49999997385141415,0.0,-0.5500000000029983
29,0.5000000144131912,0.49999998563326303,0.0,-0.5500000000046459
30,0.5000000079504823,0.49999999212152185,0.0,-0.5500000000072005
31,0.5000000044087672,0.49999999570283904,0.0,-0.5500000000111607
32,0.5000000024806251,0.49999999769236464,0.0,-0.550000000017299
33,0.5000000014508387,0.49999999881729545,0.0,-0.5500000000268134
34,0.5000000009320283,0.49999999948357954,0.0,-0.5500000000415608
35,0.5000000007204195,0.4999999999237727,0.0,-0.5500000000644192
36,0.5000000007183267,0.500000000280171,0.0,-0.5500000000998498
37,0.5000000008943286,0.5000000006533429,0.0,-0.5500000001547671
38,0.5000000012657165,0.5000000011331743,0.0,-0.550000000239889
39,0.5000000018955896,0.5000000018226913,0.0,-0.5500000003718281
40,0.5000000029017148,0.5000000028616207,0.0,-0.5500000005763336
41,0.5000000044776108,0.5000000044555591,0.0,-0.550000000893317
42,0.500000006929271,0.5000000069171425,0.0,-0.5500000013846413
43,0.5000000107343059,0.5000000107276352,0.0,-0.5500000021461939
44,0.5000000166348388,0.50000001663117,0.0,-0.5500000033266004
45,0.5000000257821658,0.500000025780148,0.0,-0.5500000051562302
46,0.5000000399613482,0.5000000399602385,0.0,-0.5500000079921558
47,0.5000000619395352,0.5000000619389248,0.0,-0.550000012387839
48,0.5000000960059751,0.5000000960056393,0.0,-0.5500000192011449
49,0.5000001488090954,0.5000001488089106,0.0,-0.5500000297617607
